txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
A,100,"[(23, 120), (26, 154), (0, 156), (0, 123)]","{'Width': 26, 'Height': 36, 'Left': 0, 'Top': 120}","(7.791, -0.053)",26.076809620810597,34.132096331752024,vertical,"(12.25, 138.25)","(0, 0)",0,120
Writer's,100,"[(27, 164), (39, 299), (9, 302), (0, 167)]","{'Width': 39, 'Height': 138, 'Left': 0, 'Top': 164}","(7.734, -0.069)",30.14962686336267,135.5322839769182,vertical,"(18.75, 233.0)","(0, 0)",0,164
Guide,100,"[(40, 312), (49, 408), (20, 410), (11, 315)]","{'Width': 38, 'Height': 98, 'Left': 11, 'Top': 312}","(7.333, -0.047)",29.068883707497267,96.42095207992918,vertical,"(30.0, 361.25)","(0, 0)",11,312
To,100,"[(49, 416), (51, 443), (23, 445), (20, 419)]","{'Width': 31, 'Height': 29, 'Left': 20, 'Top': 416}","(9.281, -0.049)",28.071337695236398,27.073972741361768,vertical,"(35.75, 430.75)","(0, 0)",20,416
ACTIVE,100,"[(53, 456), (66, 603), (37, 606), (24, 459)]","{'Width': 42, 'Height': 150, 'Left': 24, 'Top': 456}","(7.774, -0.071)",29.154759474226502,147.57371039585607,vertical,"(45.0, 531.0)","(0, 0)",24,456
SETTING,100,"[(67, 615), (81, 776), (52, 779), (37, 618)]","{'Width': 44, 'Height': 164, 'Left': 37, 'Top': 615}","(7.906, -0.071)",29.154759474226502,161.60754932861275,vertical,"(59.25, 697.0)","(0, 0)",37,615
808.3,100,"[(49, 804), (93, 804), (93, 819), (49, 819)]","{'Width': 44, 'Height': 15, 'Left': 49, 'Top': 804}","(0.0, -300.0)",15.0,44.0,horizontal,"(71.0, 811.5)","(0, 0)",49,804
BUC,100,"[(50, 824), (77, 824), (77, 835), (50, 835)]","{'Width': 27, 'Height': 11, 'Left': 50, 'Top': 824}","(0.0, -300.0)",11.0,27.0,horizontal,"(63.5, 829.5)","(0, 0)",50,824
SECHSTED,100,"[(62, 121), (70, 159), (61, 161), (53, 123)]","{'Width': 17, 'Height': 40, 'Left': 53, 'Top': 121}","(3.265, -0.153)",9.219544457292887,38.8329756778952,vertical,"(61.5, 141.0)","(0, 0)",53,121
CRAFTING,100,"[(102, 222), (115, 379), (89, 382), (76, 224)]","{'Width': 39, 'Height': 160, 'Left': 76, 'Top': 222}","(8.302, -0.079)",26.1725046566048,157.53729717117784,vertical,"(95.5, 301.75)","(0, 0)",76,222
DYNAMIC,100,"[(116, 390), (128, 532), (102, 534), (90, 392)]","{'Width': 38, 'Height': 144, 'Left': 90, 'Top': 390}","(8.135, -0.053)",26.076809620810597,142.50614021858848,vertical,"(109.0, 462.0)","(0, 0)",90,390
DIALOGUE,100,"[(128, 541), (141, 696), (115, 699), (102, 543)]","{'Width': 39, 'Height': 158, 'Left': 102, 'Top': 541}","(8.197, -0.079)",26.1725046566048,155.54420593516173,vertical,"(121.5, 619.75)","(0, 0)",102,541
OF,100,"[(104, 755), (118, 755), (118, 764), (104, 764)]","{'Width': 14, 'Height': 9, 'Left': 104, 'Top': 755}","(0.0, -300.0)",9.0,14.0,horizontal,"(111.0, 759.5)","(0, 0)",104,755
808,100,"[(108, 804), (136, 804), (136, 819), (108, 819)]","{'Width': 28, 'Height': 15, 'Left': 108, 'Top': 804}","(0.0, -300.0)",15.0,28.0,horizontal,"(122.0, 811.5)","(0, 0)",108,804
CRA,100,"[(111, 828), (140, 829), (140, 840), (111, 839)]","{'Width': 29, 'Height': 12, 'Left': 111, 'Top': 828}","(0.024, -300.0)",11.0,29.017236257093817,horizontal,"(125.5, 834.0)","(0, 0)",111,828
WETTER,100,"[(118, 755), (155, 755), (155, 764), (118, 764)]","{'Width': 37, 'Height': 9, 'Left': 118, 'Top': 755}","(0.0, -300.0)",9.0,37.0,horizontal,"(136.5, 759.5)","(0, 0)",118,755
STORYVILLE,100,"[(191, 21), (205, 378), (140, 380), (126, 24)]","{'Width': 79, 'Height': 359, 'Left': 126, 'Top': 21}","(17.53, -0.021)",65.03076195155643,357.2744043448957,vertical,"(165.5, 200.75)","(0, 0)",126,21
.,100,"[(138, 804), (143, 804), (143, 819), (138, 819)]","{'Width': 5, 'Height': 15, 'Left': 138, 'Top': 804}","(0.0, -300.0)",15.0,5.0,horizontal,"(140.5, 811.5)","(0, 0)",138,804
!,100,"[(205, 384), (206, 407), (142, 409), (141, 386)]","{'Width': 65, 'Height': 25, 'Left': 141, 'Top': 384}","(15.812, -0.021)",64.03124237432849,23.021728866442675,vertical,"(173.5, 396.5)","(0, 0)",141,384
TO,100,"[(206, 407), (208, 450), (143, 452), (141, 410)]","{'Width': 67, 'Height': 45, 'Left': 141, 'Top': 407}","(14.78, -0.021)",65.03076195155643,43.04648650006177,vertical,"(174.5, 429.75)","(0, 0)",141,407
WRITING,100,"[(207, 445), (211, 553), (147, 555), (143, 447)]","{'Width': 68, 'Height': 110, 'Left': 143, 'Top': 445}","(18.561, -0.021)",64.03124237432849,108.07404868885037,vertical,"(177.0, 500.0)","(0, 0)",143,445
FICTION,100,"[(212, 553), (216, 650), (151, 652), (147, 556)]","{'Width': 69, 'Height': 99, 'Left': 147, 'Top': 553}","(16.671, -0.021)",65.03076195155643,97.082439194738,vertical,"(181.5, 602.75)","(0, 0)",147,553
DUF,100,"[(181, 829), (208, 830), (208, 842), (181, 841)]","{'Width': 27, 'Height': 13, 'Left': 181, 'Top': 829}","(0.025, -300.0)",12.0,27.018512172212592,horizontal,"(194.5, 835.5)","(0, 0)",181,829
AN,100,"[(210, 414), (212, 443), (188, 445), (186, 416)]","{'Width': 26, 'Height': 31, 'Left': 186, 'Top': 414}","(9.968, -0.057)",24.08318915758459,29.068883707497267,vertical,"(199.0, 429.5)","(0, 0)",186,414
ILLUSTRATED,100,"[(213, 454), (223, 588), (198, 589), (188, 456)]","{'Width': 35, 'Height': 135, 'Left': 188, 'Top': 454}","(9.212, -0.027)",25.019992006393608,134.3726162579266,vertical,"(205.5, 521.75)","(0, 0)",188,454
