txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
TRUE,100,"[(17, 357), (20, 394), (3, 395), (0, 358)]","{'Width': 20, 'Height': 38, 'Left': 0, 'Top': 357}","(10.06, -0.048)",17.029386365926403,37.12142238654117,vertical,"(10.0, 376.0)","(0, 0)",0,357
TALES,100,"[(20, 401), (24, 449), (8, 450), (4, 402)]","{'Width': 20, 'Height': 49, 'Left': 4, 'Top': 401}","(9.788, -0.051)",16.0312195418814,48.16637831516918,vertical,"(14.0, 425.5)","(0, 0)",4,401
10,100,"[(78, 338), (81, 365), (55, 368), (52, 341)]","{'Width': 29, 'Height': 30, 'Left': 52, 'Top': 338}","(7.341, -0.094)",26.1725046566048,27.16615541441225,vertical,"(66.5, 353.0)","(0, 0)",52,338
TALL,100,"[(81, 366), (85, 406), (59, 409), (55, 369)]","{'Width': 30, 'Height': 43, 'Left': 55, 'Top': 366}","(8.157, -0.094)",26.1725046566048,40.19950248448356,vertical,"(70.0, 387.5)","(0, 0)",55,366
19119,100,"[(67, 299), (70, 331), (59, 332), (56, 300)]","{'Width': 14, 'Height': 33, 'Left': 56, 'Top': 299}","(8.701, -0.074)",11.045361017187261,32.14031735997639,vertical,"(63.0, 315.5)","(0, 0)",56,299
TALIS,100,"[(85, 408), (91, 460), (66, 462), (60, 411)]","{'Width': 31, 'Height': 54, 'Left': 60, 'Top': 408}","(7.069, -0.065)",25.079872407968907,52.3450093132096,vertical,"(75.5, 435.25)","(0, 0)",60,408
WORLD,100,"[(94, 521), (98, 561), (84, 562), (80, 522)]","{'Width': 18, 'Height': 41, 'Left': 80, 'Top': 521}","(8.157, -0.058)",14.035668847618199,40.19950248448356,vertical,"(89.0, 541.5)","(0, 0)",80,521
WAR,100,"[(98, 565), (101, 591), (88, 592), (85, 566)]","{'Width': 16, 'Height': 27, 'Left': 85, 'Top': 565}","(7.069, -0.063)",13.038404810405298,26.1725046566048,vertical,"(93.0, 578.5)","(0, 0)",85,565
II,100,"[(102, 594), (103, 605), (89, 606), (88, 595)]","{'Width': 15, 'Height': 12, 'Left': 88, 'Top': 594}","(8.973, -0.058)",14.035668847618199,11.045361017187261,vertical,"(95.5, 600.0)","(0, 0)",88,594
HERGES,100,"[(103, 605), (108, 649), (94, 650), (89, 606)]","{'Width': 19, 'Height': 45, 'Left': 89, 'Top': 605}","(7.178, -0.058)",14.035668847618199,44.28317965096906,vertical,"(98.5, 627.5)","(0, 0)",89,605
/,100,"[(108, 651), (109, 660), (96, 661), (95, 652)]","{'Width': 14, 'Height': 10, 'Left': 95, 'Top': 651}","(7.341, -0.063)",13.038404810405298,9.055385138137417,vertical,"(102.0, 656.0)","(0, 0)",95,651
VIETNAM,100,"[(109, 660), (114, 710), (100, 711), (95, 661)]","{'Width': 19, 'Height': 51, 'Left': 95, 'Top': 660}","(8.157, -0.058)",14.035668847618199,50.24937810560445,vertical,"(104.5, 685.5)","(0, 0)",95,660
WAN,100,"[(114, 713), (117, 740), (104, 741), (101, 714)]","{'Width': 16, 'Height': 28, 'Left': 101, 'Top': 713}","(7.341, -0.063)",13.038404810405298,27.16615541441225,vertical,"(109.0, 727.0)","(0, 0)",101,713
HERBES,100,"[(118, 742), (123, 785), (109, 786), (104, 743)]","{'Width': 19, 'Height': 44, 'Left': 104, 'Top': 742}","(7.015, -0.058)",14.035668847618199,43.289721643826724,vertical,"(113.5, 764.0)","(0, 0)",104,742
SCHMIDT,100,"[(151, 221), (158, 325), (136, 326), (129, 222)]","{'Width': 29, 'Height': 105, 'Left': 129, 'Top': 221}","(12.119, -0.037)",22.02271554554524,104.23531071570709,vertical,"(143.5, 273.5)","(0, 0)",129,221
OKAY,100,"[(167, 445), (172, 506), (154, 507), (149, 446)]","{'Width': 23, 'Height': 62, 'Left': 149, 'Top': 445}","(9.951, -0.045)",18.027756377319946,61.204574992397426,vertical,"(160.5, 476.0)","(0, 0)",149,445
FOR,100,"[(172, 514), (175, 557), (158, 558), (155, 515)]","{'Width': 20, 'Height': 44, 'Left': 155, 'Top': 514}","(11.692, -0.048)",17.029386365926403,43.104524124504614,vertical,"(165.0, 536.0)","(0, 0)",155,514
NOW,100,"[(176, 567), (180, 620), (162, 621), (158, 568)]","{'Width': 22, 'Height': 54, 'Left': 158, 'Top': 567}","(10.808, -0.045)",18.027756377319946,53.150729063673246,vertical,"(169.0, 594.0)","(0, 0)",158,567
CLARION,100,"[(192, 799), (197, 853), (183, 854), (178, 800)]","{'Width': 19, 'Height': 55, 'Left': 178, 'Top': 799}","(8.809, -0.058)",14.035668847618199,54.230987451824994,vertical,"(187.5, 826.5)","(0, 0)",178,799
BOOKS,100,"[(198, 857), (202, 901), (188, 902), (184, 858)]","{'Width': 18, 'Height': 45, 'Left': 184, 'Top': 857}","(8.973, -0.058)",14.035668847618199,44.181444068749045,vertical,"(193.0, 879.5)","(0, 0)",184,857
GARY,100,"[(220, 239), (298, 245), (295, 288), (217, 282)]","{'Width': 81, 'Height': 49, 'Left': 217, 'Top': 239}","(0.063, -11.692)",43.104524124504614,78.23042886243178,horizontal,"(257.5, 263.5)","(0, 0)",217,239
1001,100,"[(262, 413), (267, 465), (246, 467), (241, 415)]","{'Width': 26, 'Height': 54, 'Left': 241, 'Top': 413}","(8.483, -0.078)",21.095023109728988,52.23983154643591,vertical,"(254.0, 440.0)","(0, 0)",241,413
