txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
ated,100,"[(0, 187), (74, 194), (71, 226), (0, 219)]","{'Width': 74, 'Height': 39, 'Left': 0, 'Top': 187}","(0.034, -3.832)",32.14031735997639,74.33034373659252,horizontal,"(36.25, 206.5)","(0, 0)",0,187
808.3,100,"[(184, 1168), (242, 1169), (242, 1183), (184, 1182)]","{'Width': 58, 'Height': 15, 'Left': 184, 'Top': 1168}","(0.006, -300.0)",14.0,58.008620049092706,horizontal,"(213.0, 1175.5)","(0, 0)",184,1168
BUC,100,"[(185, 1193), (218, 1194), (218, 1207), (185, 1206)]","{'Width': 33, 'Height': 14, 'Left': 185, 'Top': 1193}","(0.011, -300.0)",13.0,33.015148038438355,horizontal,"(201.5, 1200.0)","(0, 0)",185,1193
A,100,"[(219, 349), (219, 384), (187, 384), (187, 349)]","{'Width': 32, 'Height': 35, 'Left': 187, 'Top': 349}","(-300.0, -0.0)",32.0,35.0,vertical,"(203.0, 366.5)","(0, 0)",187,349
Writer's,100,"[(219, 398), (221, 557), (189, 557), (187, 398)]","{'Width': 34, 'Height': 159, 'Left': 187, 'Top': 398}","(28.558, -0.0)",32.0,159.0125781188394,vertical,"(204.0, 477.5)","(0, 0)",187,398
Guide,100,"[(222, 573), (224, 685), (191, 685), (189, 573)]","{'Width': 35, 'Height': 112, 'Left': 189, 'Top': 573}","(20.116, -0.0)",33.0,112.01785571952357,vertical,"(206.5, 629.0)","(0, 0)",189,573
To,100,"[(223, 697), (223, 725), (191, 725), (191, 697)]","{'Width': 32, 'Height': 28, 'Left': 191, 'Top': 697}","(-300.0, -0.0)",32.0,28.0,vertical,"(207.0, 711.0)","(0, 0)",191,697
ACTIVE,100,"[(224, 743), (226, 921), (193, 921), (191, 743)]","{'Width': 35, 'Height': 178, 'Left': 191, 'Top': 743}","(31.97, -0.0)",33.0,178.01123560045303,vertical,"(208.5, 832.0)","(0, 0)",191,743
SETTING,100,"[(227, 938), (230, 1134), (197, 1134), (194, 938)]","{'Width': 36, 'Height': 196, 'Left': 194, 'Top': 938}","(23.469, -0.0)",33.0,196.02295783912658,vertical,"(212.0, 1036.0)","(0, 0)",194,938
THE,100,"[(258, 1097), (281, 1097), (281, 1107), (258, 1107)]","{'Width': 23, 'Height': 10, 'Left': 258, 'Top': 1097}","(0.0, -300.0)",10.0,23.0,horizontal,"(269.5, 1102.0)","(0, 0)",258,1097
OF,100,"[(261, 1111), (277, 1111), (277, 1122), (261, 1122)]","{'Width': 16, 'Height': 11, 'Left': 261, 'Top': 1111}","(0.0, -300.0)",11.0,16.0,horizontal,"(269.0, 1116.5)","(0, 0)",261,1111
808.3,100,"[(262, 1176), (321, 1177), (321, 1192), (262, 1191)]","{'Width': 59, 'Height': 16, 'Left': 262, 'Top': 1176}","(0.006, -300.0)",15.0,59.00847396772772,horizontal,"(291.5, 1184.0)","(0, 0)",262,1176
CRA,100,"[(262, 1200), (299, 1201), (299, 1214), (262, 1213)]","{'Width': 37, 'Height': 14, 'Left': 262, 'Top': 1200}","(0.01, -300.0)",13.0,37.013511046643494,horizontal,"(280.5, 1207.0)","(0, 0)",262,1200
DIGEST,100,"[(275, 1126), (316, 1127), (316, 1137), (275, 1136)]","{'Width': 41, 'Height': 11, 'Left': 275, 'Top': 1126}","(0.009, -300.0)",10.0,41.012193308819754,horizontal,"(295.5, 1131.5)","(0, 0)",275,1126
