txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
ASE,100,"[(0, 310), (68, 311), (68, 344), (0, 343)]","{'Width': 68, 'Height': 34, 'Left': 0, 'Top': 310}","(0.006, -300.0)",33.0,68.00735254367721,horizontal,"(34.0, 327.0)","(0, 0)",0,310
Not,100,"[(166, 349), (210, 343), (214, 372), (170, 378)]","{'Width': 48, 'Height': 35, 'Left': 166, 'Top': 343}","(-0.052, 2.746)",29.274562336608895,44.40720662234904,horizontal,"(190.0, 360.5)","(0, 0)",166,343
a,100,"[(216, 342), (230, 340), (234, 369), (220, 371)]","{'Width': 18, 'Height': 31, 'Left': 216, 'Top': 340}","(-0.054, 2.746)",29.274562336608895,14.142135623730951,horizontal,"(225.0, 355.5)","(0, 0)",216,340
creature,100,"[(235, 338), (326, 325), (330, 355), (239, 368)]","{'Width': 95, 'Height': 43, 'Left': 235, 'Top': 325}","(-0.054, 2.84)",30.265491900843113,91.92388155425118,horizontal,"(282.5, 346.5)","(0, 0)",235,325
was,100,"[(333, 325), (375, 319), (379, 348), (337, 354)]","{'Width': 46, 'Height': 35, 'Left': 333, 'Top': 319}","(-0.054, 2.746)",29.274562336608895,42.42640687119285,horizontal,"(356.0, 336.5)","(0, 0)",333,319
stirring,100,"[(379, 318), (465, 306), (469, 336), (383, 348)]","{'Width': 90, 'Height': 42, 'Left': 379, 'Top': 306}","(-0.053, 2.84)",30.265491900843113,86.83317338436964,horizontal,"(424.0, 327.0)","(0, 0)",379,306
ain'i,100,"[(872, 100), (873, 127), (858, 128), (857, 101)]","{'Width': 16, 'Height': 28, 'Left': 857, 'Top': 100}","(10.225, -0.025)",15.033296378372908,27.018512172212592,vertical,"(865.0, 114.0)","(0, 0)",857,100
burned,100,"[(874, 131), (876, 176), (861, 177), (859, 132)]","{'Width': 17, 'Height': 46, 'Left': 859, 'Top': 131}","(8.521, -0.025)",15.033296378372908,45.044422518220834,vertical,"(867.5, 154.0)","(0, 0)",859,131
all,100,"[(876, 184), (877, 202), (862, 203), (861, 185)]","{'Width': 16, 'Height': 19, 'Left': 861, 'Top': 184}","(6.817, -0.025)",15.033296378372908,18.027756377319946,vertical,"(869.0, 193.5)","(0, 0)",861,184
the,100,"[(877, 202), (878, 223), (863, 224), (862, 203)]","{'Width': 16, 'Height': 22, 'Left': 862, 'Top': 202}","(7.953, -0.025)",15.033296378372908,21.02379604162864,vertical,"(870.0, 213.0)","(0, 0)",862,202
지,100,"[(886, 429), (887, 458), (863, 459), (862, 430)]","{'Width': 25, 'Height': 30, 'Left': 862, 'Top': 429}","(10.982, -0.016)",24.020824298928627,29.017236257093817,vertical,"(874.5, 444.0)","(0, 0)",862,429
bright,100,"[(879, 230), (881, 268), (866, 269), (864, 231)]","{'Width': 17, 'Height': 39, 'Left': 864, 'Top': 230}","(7.195, -0.025)",15.033296378372908,38.05259518088089,vertical,"(872.5, 249.5)","(0, 0)",864,230
AD,100,"[(940, 50), (941, 103), (919, 103), (918, 51)]","{'Width': 23, 'Height': 53, 'Left': 918, 'Top': 50}","(20.071, -0.0)",22.0,53.009433122794285,vertical,"(929.5, 76.75)","(0, 0)",918,50
GRASPING,100,"[(941, 114), (943, 213), (922, 213), (920, 114)]","{'Width': 23, 'Height': 99, 'Left': 920, 'Top': 114}","(18.746, -0.0)",21.0,99.02019995940222,vertical,"(931.5, 163.5)","(0, 0)",920,114
MYSTERIES,100,"[(944, 220), (946, 329), (924, 329), (922, 221)]","{'Width': 24, 'Height': 109, 'Left': 922, 'Top': 220}","(20.639, -0.0)",22.0,109.01834707974616,vertical,"(934.0, 274.75)","(0, 0)",922,220
PATR,100,"[(1015, 425), (953, 426), (953, 415), (1015, 414)]","{'Width': 62, 'Height': 12, 'Left': 953, 'Top': 414}","(-0.006, -300.0)",11.0,62.00806399170998,horizontal,"(984.0, 420.0)","(0, 0)",953,414
OTHER,100,"[(1003, 58), (1006, 132), (963, 134), (960, 60)]","{'Width': 46, 'Height': 76, 'Left': 960, 'Top': 58}","(9.341, -0.018)",43.04648650006177,74.06078584514209,vertical,"(983.0, 96.0)","(0, 0)",960,58
WORDS,100,"[(1005, 130), (1009, 227), (967, 229), (963, 132)]","{'Width': 46, 'Height': 99, 'Left': 963, 'Top': 130}","(9.184, -0.018)",42.04759208325728,97.082439194738,vertical,"(986.0, 179.5)","(0, 0)",963,130
for,100,"[(1009, 224), (1011, 265), (969, 267), (967, 226)]","{'Width': 44, 'Height': 43, 'Left': 967, 'Top': 224}","(7.763, -0.018)",42.04759208325728,41.048751503547585,vertical,"(989.0, 245.5)","(0, 0)",967,224
Home,100,"[(1011, 263), (1015, 371), (972, 373), (968, 265)]","{'Width': 47, 'Height': 110, 'Left': 968, 'Top': 263}","(10.225, -0.018)",43.04648650006177,108.07404868885037,vertical,"(991.5, 318.0)","(0, 0)",968,263
BURG,100,"[(1051, 58), (1051, 129), (1029, 129), (1029, 58)]","{'Width': 22, 'Height': 71, 'Left': 1029, 'Top': 58}","(-300.0, -0.0)",22.0,71.0,vertical,"(1040.0, 93.5)","(0, 0)",1029,58
broken,100,"[(1051, 188), (1051, 276), (1029, 276), (1029, 188)]","{'Width': 22, 'Height': 88, 'Left': 1029, 'Top': 188}","(-300.0, -0.0)",22.0,88.0,vertical,"(1040.0, 232.0)","(0, 0)",1029,188
pieces,100,"[(1051, 282), (1051, 359), (1029, 359), (1029, 282)]","{'Width': 22, 'Height': 77, 'Left': 1029, 'Top': 282}","(-300.0, -0.0)",22.0,77.0,vertical,"(1040.0, 320.5)","(0, 0)",1029,282
Unsettled,100,"[(1117, 141), (1119, 277), (1084, 277), (1082, 141)]","{'Width': 37, 'Height': 136, 'Left': 1082, 'Top': 141}","(25.752, -0.0)",35.0,136.01470508735443,vertical,"(1100.5, 209.0)","(0, 0)",1082,141
*,100,"[(1117, 129), (1117, 142), (1083, 142), (1083, 129)]","{'Width': 34, 'Height': 13, 'Left': 1083, 'Top': 129}","(-300.0, -0.0)",34.0,13.0,vertical,"(1100.0, 135.5)","(0, 0)",1083,129
"""",100,"[(1118, 270), (1118, 285), (1084, 285), (1084, 270)]","{'Width': 34, 'Height': 15, 'Left': 1084, 'Top': 270}","(-300.0, -0.0)",34.0,15.0,vertical,"(1101.0, 277.5)","(0, 0)",1084,270
bright,100,"[(1183, 224), (1182, 263), (1169, 263), (1170, 224)]","{'Width': 14, 'Height': 39, 'Left': 1169, 'Top': 224}","(-14.769, -0.0)",13.0,39.01281840626232,vertical,"(1176.0, 243.5)","(0, 0)",1169,224
the,100,"[(1184, 195), (1183, 217), (1170, 217), (1171, 195)]","{'Width': 14, 'Height': 22, 'Left': 1170, 'Top': 195}","(-8.331, -0.0)",13.0,22.02271554554524,vertical,"(1177.0, 206.0)","(0, 0)",1170,195
burned,100,"[(1187, 123), (1185, 169), (1171, 169), (1173, 123)]","{'Width': 16, 'Height': 46, 'Left': 1171, 'Top': 123}","(-8.71, -0.0)",14.0,46.04345773288535,vertical,"(1179.0, 146.0)","(0, 0)",1171,123
