txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
TO,100,"[(1954, 666), (1954, 701), (1926, 701), (1926, 666)]","{'Width': 28, 'Height': 35, 'Left': 1926, 'Top': 666}","(-300.0, -0.0)",28.0,35.0,vertical,"(1940.0, 683.5)","(0, 0)",1926,666
CONFIDENT,100,"[(1961, 723), (1962, 866), (1943, 866), (1942, 723)]","{'Width': 20, 'Height': 143, 'Left': 1942, 'Top': 723}","(79.812, -0.0)",19.0,143.0034964607509,vertical,"(1952.0, 794.5)","(0, 0)",1942,723
808.5808,100,"[(1972, 959), (2057, 957), (2058, 975), (1973, 978)]","{'Width': 86, 'Height': 21, 'Left': 1972, 'Top': 957}","(-0.013, 10.046)",18.027756377319946,85.0235261559999,horizontal,"(2015.0, 967.25)","(0, 0)",1972,957
DIC,100,"[(1972, 979), (2003, 979), (2003, 993), (1972, 993)]","{'Width': 31, 'Height': 14, 'Left': 1972, 'Top': 979}","(0.0, -300.0)",14.0,31.0,horizontal,"(1987.5, 986.0)","(0, 0)",1972,979
OCCASION,100,"[(2012, 688), (2011, 943), (1982, 943), (1983, 688)]","{'Width': 30, 'Height': 255, 'Left': 1982, 'Top': 688}","(-142.323, -0.0)",29.0,255.0019607767752,vertical,"(1997.0, 815.5)","(0, 0)",1982,688
RISING,100,"[(2012, 460), (2014, 629), (1985, 629), (1983, 460)]","{'Width': 31, 'Height': 169, 'Left': 1983, 'Top': 460}","(47.162, -0.0)",29.0,169.01183390520322,vertical,"(1998.5, 544.5)","(0, 0)",1983,460
DICKSON,100,"[(1997, 305), (1998, 412), (1987, 412), (1986, 305)]","{'Width': 12, 'Height': 107, 'Left': 1986, 'Top': 305}","(59.72, -0.0)",11.0,107.00467279516349,vertical,"(1992.0, 358.5)","(0, 0)",1986,305
THE,100,"[(2014, 643), (2014, 678), (1986, 678), (1986, 643)]","{'Width': 28, 'Height': 35, 'Left': 1986, 'Top': 643}","(-300.0, -0.0)",28.0,35.0,vertical,"(2000.0, 660.5)","(0, 0)",1986,643
PAUL,100,"[(2014, 330), (2014, 388), (2002, 388), (2002, 330)]","{'Width': 12, 'Height': 58, 'Left': 2002, 'Top': 330}","(-300.0, -0.0)",12.0,58.0,vertical,"(2008.0, 359.0)","(0, 0)",2002,330
CHA,100,"[(2027, 986), (2060, 987), (2060, 999), (2027, 998)]","{'Width': 33, 'Height': 13, 'Left': 2027, 'Top': 986}","(0.017, -300.0)",12.0,33.015148038438355,horizontal,"(2043.5, 992.5)","(0, 0)",2027,986
World,100,"[(2072, 814), (2071, 866), (2028, 865), (2029, 813)]","{'Width': 44, 'Height': 53, 'Left': 2028, 'Top': 813}","(-29.023, 0.013)",43.01162633521314,52.009614495783374,vertical,"(2050.0, 839.5)","(0, 0)",2028,813
Shape,100,"[(2073, 724), (2072, 777), (2029, 776), (2030, 723)]","{'Width': 44, 'Height': 54, 'Left': 2029, 'Top': 723}","(-29.581, 0.013)",43.01162633521314,53.009433122794285,vertical,"(2051.0, 750.0)","(0, 0)",2029,723
Words,100,"[(2074, 668), (2073, 722), (2030, 721), (2031, 667)]","{'Width': 44, 'Height': 55, 'Left': 2030, 'Top': 667}","(-30.139, 0.013)",43.01162633521314,54.00925846556311,vertical,"(2052.0, 694.5)","(0, 0)",2030,667
Our,100,"[(2072, 779), (2072, 811), (2030, 810), (2030, 778)]","{'Width': 42, 'Height': 33, 'Left': 2030, 'Top': 778}","(-300.0, 0.013)",42.01190307520001,32.0,vertical,"(2051.0, 794.5)","(0, 0)",2030,778
How,100,"[(2074, 624), (2073, 667), (2031, 666), (2032, 623)]","{'Width': 43, 'Height': 44, 'Left': 2031, 'Top': 623}","(-24.0, 0.013)",42.01190307520001,43.01162633521314,vertical,"(2052.5, 645.0)","(0, 0)",2031,623
Storylines,100,"[(2079, 298), (2075, 586), (2032, 585), (2036, 297)]","{'Width': 47, 'Height': 289, 'Left': 2032, 'Top': 297}","(-40.185, 0.013)",43.01162633521314,288.0277764383151,vertical,"(2055.5, 441.5)","(0, 0)",2032,297
