txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top
THE,100,"[(83, 360), (85, 402), (69, 403), (67, 361)]","{'Width': 18, 'Height': 43, 'Left': 67, 'Top': 360}","(-21.0, 0.062, -21.0, 0.062)",16.0312195418814,42.04759208325728,vertical,"(76.0, 381.5)","(0, 0)",67,360
TIPPING,100,"[(85, 412), (88, 501), (72, 502), (69, 413)]","{'Width': 19, 'Height': 90, 'Left': 69, 'Top': 412}","(-29.667, 0.062, -29.667, 0.062)",16.0312195418814,89.05054744357274,vertical,"(78.5, 457.0)","(0, 0)",69,412
POINT,100,"[(89, 511), (92, 578), (76, 579), (73, 512)]","{'Width': 19, 'Height': 68, 'Left': 73, 'Top': 511}","(-22.333, 0.062, -22.333, 0.062)",16.0312195418814,67.06713054842886,vertical,"(82.5, 545.0)","(0, 0)",73,511
MALCOLM,100,"[(90, 621), (95, 722), (80, 723), (75, 622)]","{'Width': 20, 'Height': 102, 'Left': 75, 'Top': 621}","(-20.2, 0.067, -20.2, 0.067)",15.033296378372908,101.1236866416568,vertical,"(85.0, 672.0)","(0, 0)",75,621
GLADWELL,100,"[(96, 735), (102, 846), (87, 847), (81, 736)]","{'Width': 21, 'Height': 112, 'Left': 81, 'Top': 735}","(-18.5, 0.067, -18.5, 0.067)",15.033296378372908,111.16204388189342,vertical,"(91.5, 791.0)","(0, 0)",81,735
MESSI,100,"[(149, 324), (152, 445), (120, 446), (117, 325)]","{'Width': 35, 'Height': 122, 'Left': 117, 'Top': 324}","(-40.333, 0.031, -40.333, 0.031)",32.01562118716424,121.03718436910205,vertical,"(134.5, 385.0)","(0, 0)",117,324
NEYMAR,100,"[(152, 464), (155, 607), (123, 608), (120, 465)]","{'Width': 35, 'Height': 144, 'Left': 120, 'Top': 464}","(-47.667, 0.031, -47.667, 0.031)",32.01562118716424,143.0314650697531,vertical,"(137.5, 536.0)","(0, 0)",120,464
RONALDO,100,"[(156, 623), (160, 774), (129, 775), (125, 624)]","{'Width': 35, 'Height': 152, 'Left': 125, 'Top': 623}","(-37.75, 0.032, -37.75, 0.032)",31.016124838541646,151.0529708413575,vertical,"(142.5, 699.0)","(0, 0)",125,623
CALI,100,"[(160, 779), (162, 862), (130, 863), (128, 780)]","{'Width': 34, 'Height': 84, 'Left': 128, 'Top': 779}","(-41.5, 0.031, -41.5, 0.031)",32.01562118716424,83.02409288875127,vertical,"(145.0, 821.0)","(0, 0)",128,779
LUCA,100,"[(166, 335), (214, 340), (211, 363), (164, 358)]","{'Width': 50, 'Height': 28, 'Left': 164, 'Top': 335}","(-0.104, 7.667, -0.106, 11.5)",23.140809885358397,47.76246162022026,horizontal,"(188.75, 349.0)","(0, 0)",164,335
PINSKER,100,"[(170, 497), (222, 498), (222, 509), (170, 508)]","{'Width': 52, 'Height': 12, 'Left': 170, 'Top': 497}","(-0.019, 1000.0, -0.019, 1000.0)",11.0,52.009614495783374,horizontal,"(196.0, 503.0)","(0, 0)",170,497
130,100,"[(215, 480), (217, 571), (179, 572), (177, 481)]","{'Width': 40, 'Height': 92, 'Left': 177, 'Top': 480}","(-45.5, 0.026, -45.5, 0.026)",38.01315561749642,91.02197536858887,vertical,"(197.0, 526.0)","(0, 0)",177,480
SECOND,100,"[(217, 578), (219, 679), (180, 680), (178, 579)]","{'Width': 41, 'Height': 102, 'Left': 178, 'Top': 578}","(-50.5, 0.026, -50.5, 0.026)",39.01281840626232,101.01980003939822,vertical,"(198.5, 629.0)","(0, 0)",178,578
MYSTERIES,100,"[(219, 685), (222, 826), (183, 827), (180, 686)]","{'Width': 42, 'Height': 142, 'Left': 180, 'Top': 685}","(-47.0, 0.026, -47.0, 0.026)",39.01281840626232,141.0319112825179,vertical,"(201.0, 756.0)","(0, 0)",180,685
CAIOLI,100,"[(221, 340), (276, 345), (273, 368), (219, 363)]","{'Width': 57, 'Height': 28, 'Left': 219, 'Top': 340}","(-0.091, 7.667, -0.093, 11.5)",23.140809885358397,54.728896268880646,horizontal,"(247.25, 354.0)","(0, 0)",219,340
SHOW,100,"[(274, 493), (276, 556), (253, 557), (251, 494)]","{'Width': 25, 'Height': 64, 'Left': 251, 'Top': 493}","(-31.5, 0.043, -31.5, 0.043)",23.021728866442675,63.0317380372777,vertical,"(263.5, 525.0)","(0, 0)",251,493
YOUR,100,"[(276, 559), (278, 610), (256, 611), (254, 560)]","{'Width': 24, 'Height': 52, 'Left': 254, 'Top': 559}","(-25.5, 0.045, -25.5, 0.045)",22.02271554554524,51.03920062069938,vertical,"(266.0, 585.0)","(0, 0)",254,559
WORK,100,"[(279, 617), (281, 681), (258, 682), (256, 618)]","{'Width': 25, 'Height': 65, 'Left': 256, 'Top': 617}","(-32.0, 0.043, -32.0, 0.043)",23.021728866442675,64.03124237432849,vertical,"(268.5, 649.5)","(0, 0)",256,617
/,100,"[(280, 679), (280, 692), (258, 693), (258, 680)]","{'Width': 22, 'Height': 14, 'Left': 258, 'Top': 679}","(1000.0, 0.045, 1000.0, 0.045)",22.02271554554524,13.0,vertical,"(269.0, 686.0)","(0, 0)",258,679
AUSTIN,100,"[(282, 725), (284, 788), (262, 789), (260, 726)]","{'Width': 24, 'Height': 64, 'Left': 260, 'Top': 725}","(-31.5, 0.045, -31.5, 0.045)",22.02271554554524,63.0317380372777,vertical,"(272.0, 757.0)","(0, 0)",260,725
KLEON,100,"[(285, 797), (288, 866), (265, 867), (262, 798)]","{'Width': 26, 'Height': 70, 'Left': 262, 'Top': 797}","(-23.0, 0.043, -23.0, 0.043)",23.021728866442675,69.06518659932803,vertical,"(275.0, 832.0)","(0, 0)",262,797
m,100,"[(289, 911), (290, 928), (268, 929), (267, 912)]","{'Width': 23, 'Height': 18, 'Left': 267, 'Top': 911}","(-17.0, 0.045, -17.0, 0.045)",22.02271554554524,17.029386365926403,vertical,"(278.5, 920.0)","(0, 0)",267,911
CLINTON,100,"[(371, 219), (373, 343), (351, 343), (349, 219)]","{'Width': 24, 'Height': 124, 'Left': 349, 'Top': 219}","(-62.0, 0.0, -62.0, -0.0)",22.0,124.01612798341996,vertical,"(361.0, 281.0)","(0, 0)",349,219
WORLD,100,"[(413, 497), (410, 714), (357, 713), (360, 496)]","{'Width': 56, 'Height': 218, 'Left': 357, 'Top': 496}","(72.333, -0.019, 72.333, -0.019)",53.009433122794285,217.02073633641555,vertical,"(385.0, 605.0)","(0, 0)",357,496
Get,100,"[(373, 813), (373, 842), (358, 842), (358, 813)]","{'Width': 15, 'Height': 29, 'Left': 358, 'Top': 813}","(1000.0, 0.0, 1000.0, -0.0)",15.0,29.0,vertical,"(365.5, 827.5)","(0, 0)",358,813
Going,100,"[(373, 845), (373, 884), (358, 884), (358, 845)]","{'Width': 15, 'Height': 39, 'Left': 358, 'Top': 845}","(1000.0, 0.0, 1000.0, -0.0)",15.0,39.0,vertical,"(365.5, 864.5)","(0, 0)",358,845
!,100,"[(373, 884), (373, 889), (358, 889), (358, 884)]","{'Width': 15, 'Height': 5, 'Left': 358, 'Top': 884}","(1000.0, 0.0, 1000.0, -0.0)",15.0,5.0,vertical,"(365.5, 886.5)","(0, 0)",358,884
Your,100,"[(414, 424), (413, 497), (360, 496), (361, 423)]","{'Width': 54, 'Height': 74, 'Left': 360, 'Top': 423}","(73.0, -0.019, 73.0, -0.019)",53.009433122794285,73.00684899377592,vertical,"(387.0, 460.0)","(0, 0)",360,423
It's,100,"[(415, 369), (414, 435), (361, 434), (362, 368)]","{'Width': 54, 'Height': 67, 'Left': 361, 'Top': 368}","(66.0, -0.019, 66.0, -0.019)",53.009433122794285,66.007575322837,vertical,"(388.0, 401.5)","(0, 0)",361,368
CHELSEA,100,"[(417, 218), (415, 352), (362, 351), (364, 217)]","{'Width': 55, 'Height': 135, 'Left': 362, 'Top': 217}","(67.0, -0.019, 67.0, -0.019)",53.009433122794285,134.01492454200763,vertical,"(389.5, 284.5)","(0, 0)",362,217
Get,100,"[(392, 751), (392, 779), (376, 779), (376, 751)]","{'Width': 16, 'Height': 28, 'Left': 376, 'Top': 751}","(1000.0, 0.0, 1000.0, -0.0)",16.0,28.0,vertical,"(384.0, 765.0)","(0, 0)",376,751
Inspired,100,"[(392, 784), (392, 842), (376, 842), (376, 784)]","{'Width': 16, 'Height': 58, 'Left': 376, 'Top': 784}","(1000.0, 0.0, 1000.0, -0.0)",16.0,58.0,vertical,"(384.0, 813.0)","(0, 0)",376,784
&,100,"[(392, 846), (392, 856), (376, 856), (376, 846)]","{'Width': 16, 'Height': 10, 'Left': 376, 'Top': 846}","(1000.0, 0.0, 1000.0, -0.0)",16.0,10.0,vertical,"(384.0, 851.0)","(0, 0)",376,846
