txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top
Get,100,"[(412, 718), (412, 745), (397, 745), (397, 718)]","{'Width': 15, 'Height': 27, 'Left': 397, 'Top': 718}","(1000.0, 0.0, 1000.0, -0.0)",15.0,27.0,vertical,"(404.5, 731.5)","(0, 0)",397,718
Infermed,100,"[(412, 751), (413, 817), (398, 817), (397, 751)]","{'Width': 16, 'Height': 66, 'Left': 397, 'Top': 751}","(-66.0, 0.0, -66.0, -0.0)",15.0,66.007575322837,vertical,"(405.0, 784.0)","(0, 0)",397,751
GLADWELL,100,"[(501, 664), (500, 811), (483, 811), (484, 664)]","{'Width': 18, 'Height': 147, 'Left': 483, 'Top': 664}","(147.0, 0.0, 147.0, -0.0)",17.0,147.00340132119393,vertical,"(492.0, 737.5)","(0, 0)",483,664
Success,100,"[(501, 568), (500, 641), (484, 641), (485, 568)]","{'Width': 17, 'Height': 73, 'Left': 484, 'Top': 568}","(73.0, 0.0, 73.0, -0.0)",16.0,73.00684899377592,vertical,"(492.5, 604.5)","(0, 0)",484,568
or,100,"[(501, 544), (501, 564), (485, 564), (485, 544)]","{'Width': 16, 'Height': 20, 'Left': 485, 'Top': 544}","(1000.0, 0.0, 1000.0, -0.0)",16.0,20.0,vertical,"(493.0, 554.0)","(0, 0)",485,544
Outliers,100,"[(515, 340), (515, 482), (490, 482), (490, 340)]","{'Width': 25, 'Height': 142, 'Left': 490, 'Top': 340}","(1000.0, 0.0, 1000.0, -0.0)",25.0,142.0,vertical,"(502.5, 411.0)","(0, 0)",490,340
o,100,"[(515, 503), (515, 525), (490, 525), (490, 503)]","{'Width': 25, 'Height': 22, 'Left': 490, 'Top': 503}","(1000.0, 0.0, 1000.0, -0.0)",25.0,22.0,vertical,"(502.5, 514.0)","(0, 0)",490,503
THE,100,"[(521, 550), (522, 577), (507, 577), (506, 550)]","{'Width': 16, 'Height': 27, 'Left': 506, 'Top': 550}","(-27.0, 0.0, -27.0, -0.0)",15.0,27.018512172212592,vertical,"(514.0, 563.5)","(0, 0)",506,550
STORY,100,"[(522, 586), (523, 636), (507, 636), (506, 586)]","{'Width': 17, 'Height': 50, 'Left': 506, 'Top': 586}","(-50.0, 0.0, -50.0, -0.0)",16.0,50.00999900019995,vertical,"(514.5, 611.0)","(0, 0)",506,586
MALCOLM,100,"[(530, 670), (530, 803), (513, 803), (513, 670)]","{'Width': 17, 'Height': 133, 'Left': 513, 'Top': 670}","(1000.0, 0.0, 1000.0, -0.0)",17.0,133.0,vertical,"(521.5, 736.5)","(0, 0)",513,670
The,100,"[(598, 219), (598, 248), (579, 248), (579, 219)]","{'Width': 19, 'Height': 29, 'Left': 579, 'Top': 219}","(1000.0, 0.0, 1000.0, -0.0)",19.0,29.0,vertical,"(588.5, 233.5)","(0, 0)",579,219
Story,100,"[(599, 252), (600, 295), (580, 295), (579, 252)]","{'Width': 21, 'Height': 43, 'Left': 579, 'Top': 252}","(-43.0, 0.0, -43.0, -0.0)",20.0,43.01162633521314,vertical,"(589.5, 273.5)","(0, 0)",579,252
of,100,"[(599, 297), (599, 317), (580, 317), (580, 297)]","{'Width': 19, 'Height': 20, 'Left': 580, 'Top': 297}","(1000.0, 0.0, 1000.0, -0.0)",19.0,20.0,vertical,"(589.5, 307.0)","(0, 0)",580,297
One,100,"[(599, 317), (600, 349), (581, 349), (580, 317)]","{'Width': 20, 'Height': 32, 'Left': 580, 'Top': 317}","(-32.0, 0.0, -32.0, -0.0)",19.0,32.01562118716424,vertical,"(590.0, 333.0)","(0, 0)",580,317
Family,100,"[(600, 351), (601, 402), (581, 402), (580, 351)]","{'Width': 21, 'Height': 51, 'Left': 580, 'Top': 351}","(-51.0, 0.0, -51.0, -0.0)",20.0,51.0098029794274,vertical,"(590.5, 376.5)","(0, 0)",580,351
Ab,100,"[(601, 405), (601, 423), (581, 423), (581, 405)]","{'Width': 20, 'Height': 18, 'Left': 581, 'Top': 405}","(1000.0, 0.0, 1000.0, -0.0)",20.0,18.0,vertical,"(591.0, 414.0)","(0, 0)",581,405
LARGE,100,"[(612, 795), (611, 839), (587, 839), (588, 795)]","{'Width': 25, 'Height': 44, 'Left': 587, 'Top': 795}","(44.0, 0.0, 44.0, -0.0)",24.0,44.01136216933077,vertical,"(599.5, 817.0)","(0, 0)",587,795
CLAY,100,"[(613, 759), (612, 795), (588, 795), (589, 759)]","{'Width': 25, 'Height': 36, 'Left': 588, 'Top': 759}","(36.0, 0.0, 36.0, -0.0)",24.0,36.013886210738214,vertical,"(600.5, 777.0)","(0, 0)",588,759
DAVID,100,"[(614, 714), (613, 756), (589, 756), (590, 714)]","{'Width': 25, 'Height': 42, 'Left': 589, 'Top': 714}","(42.0, 0.0, 42.0, -0.0)",24.0,42.01190307520001,vertical,"(601.5, 735.0)","(0, 0)",589,714
ley,100,"[(716, 341), (717, 372), (690, 373), (689, 342)]","{'Width': 28, 'Height': 32, 'Left': 689, 'Top': 341}","(-31.0, 0.037, -31.0, 0.037)",27.018512172212592,31.016124838541646,vertical,"(703.0, 357.0)","(0, 0)",689,341
Stremme,100,"[(717, 383), (719, 456), (692, 457), (690, 384)]","{'Width': 29, 'Height': 74, 'Left': 690, 'Top': 383}","(-36.5, 0.037, -36.5, 0.037)",27.018512172212592,73.02739212103907,vertical,"(704.5, 420.0)","(0, 0)",690,383
SCHOLASTI,100,"[(719, 463), (724, 610), (698, 611), (693, 464)]","{'Width': 31, 'Height': 148, 'Left': 693, 'Top': 463}","(-29.4, 0.038, -29.4, 0.038)",26.019223662515376,147.08500943332058,vertical,"(708.5, 537.0)","(0, 0)",693,463
Johnson,100,"[(771, 781), (770, 860), (752, 860), (753, 781)]","{'Width': 19, 'Height': 79, 'Left': 752, 'Top': 781}","(79.0, 0.0, 79.0, -0.0)",18.0,79.00632886041473,vertical,"(761.5, 820.5)","(0, 0)",752,781
How,100,"[(791, 270), (791, 361), (757, 361), (757, 270)]","{'Width': 34, 'Height': 91, 'Left': 757, 'Top': 270}","(1000.0, 0.0, 1000.0, -0.0)",34.0,91.0,vertical,"(774.0, 315.5)","(0, 0)",757,270
We,100,"[(791, 372), (791, 444), (757, 444), (757, 372)]","{'Width': 34, 'Height': 72, 'Left': 757, 'Top': 372}","(1000.0, 0.0, 1000.0, -0.0)",34.0,72.0,vertical,"(774.0, 408.0)","(0, 0)",757,372
Got,100,"[(791, 458), (791, 537), (757, 537), (757, 458)]","{'Width': 34, 'Height': 79, 'Left': 757, 'Top': 458}","(1000.0, 0.0, 1000.0, -0.0)",34.0,79.0,vertical,"(774.0, 497.5)","(0, 0)",757,458
to,100,"[(791, 544), (791, 583), (757, 583), (757, 544)]","{'Width': 34, 'Height': 39, 'Left': 757, 'Top': 544}","(1000.0, 0.0, 1000.0, -0.0)",34.0,39.0,vertical,"(774.0, 563.5)","(0, 0)",757,544
Now,100,"[(791, 595), (791, 690), (757, 690), (757, 595)]","{'Width': 34, 'Height': 95, 'Left': 757, 'Top': 595}","(1000.0, 0.0, 1000.0, -0.0)",34.0,95.0,vertical,"(774.0, 642.5)","(0, 0)",757,595
1,100,"[(783, 936), (783, 951), (757, 951), (757, 936)]","{'Width': 26, 'Height': 15, 'Left': 757, 'Top': 936}","(1000.0, 0.0, 1000.0, -0.0)",26.0,15.0,vertical,"(770.0, 943.5)","(0, 0)",757,936
RI,100,"[(759, 900), (786, 900), (786, 922), (759, 922)]","{'Width': 27, 'Height': 22, 'Left': 759, 'Top': 900}","(-0.0, 1000.0, 0.0, 1000.0)",22.0,27.0,horizontal,"(772.5, 911.0)","(0, 0)",759,900
Steven,100,"[(795, 791), (795, 855), (776, 855), (776, 791)]","{'Width': 19, 'Height': 64, 'Left': 776, 'Top': 791}","(1000.0, 0.0, 1000.0, -0.0)",19.0,64.0,vertical,"(785.5, 823.0)","(0, 0)",776,791
WORLD'S,100,"[(883, 426), (885, 503), (867, 503), (865, 427)]","{'Width': 20, 'Height': 77, 'Left': 865, 'Top': 426}","(-38.5, 0.0, -38.0, 0.056)",18.013878188659973,76.52614044079985,vertical,"(875.0, 464.75)","(0, 0)",865,426
SCAREST,100,"[(885, 508), (887, 590), (869, 590), (867, 509)]","{'Width': 20, 'Height': 82, 'Left': 867, 'Top': 508}","(-41.0, 0.0, -40.5, 0.056)",18.013878188659973,81.52453710672904,vertical,"(877.0, 549.25)","(0, 0)",867,508
Sun,100,"[(905, 784), (894, 835), (867, 829), (879, 778)]","{'Width': 38, 'Height': 57, 'Left': 867, 'Top': 778}","(4.636, -0.222, 4.25, -0.231)",27.170980750065667,52.28276871635063,vertical,"(886.25, 806.5)","(0, 0)",867,778
-,100,"[(887, 584), (887, 595), (870, 595), (870, 584)]","{'Width': 17, 'Height': 11, 'Left': 870, 'Top': 584}","(1000.0, 0.0, 1000.0, -0.0)",17.0,11.0,vertical,"(878.5, 589.5)","(0, 0)",870,584
PRISONS,100,"[(888, 595), (890, 667), (872, 667), (870, 596)]","{'Width': 20, 'Height': 72, 'Left': 870, 'Top': 595}","(-36.0, 0.0, -35.5, 0.056)",18.013878188659973,71.52796792489774,vertical,"(880.0, 631.25)","(0, 0)",870,595
a,100,"[(909, 765), (906, 780), (879, 774), (883, 759)]","{'Width': 30, 'Height': 21, 'Left': 879, 'Top': 759}","(5.0, -0.222, 3.75, -0.231)",27.170980750065667,15.410616618519189,vertical,"(894.25, 769.5)","(0, 0)",879,759
Still,100,"[(922, 709), (911, 758), (885, 752), (896, 703)]","{'Width': 37, 'Height': 55, 'Left': 885, 'Top': 703}","(4.455, -0.231, 4.455, -0.231)",26.68332812825267,50.21951811795888,vertical,"(903.5, 730.5)","(0, 0)",885,703
CAFTRAGEOUS,100,"[(898, 450), (901, 515), (890, 515), (887, 450)]","{'Width': 14, 'Height': 65, 'Left': 887, 'Top': 450}","(-21.667, 0.0, -21.667, -0.0)",11.0,65.06919393998976,vertical,"(894.0, 482.5)","(0, 0)",887,450
PRESSING,100,"[(901, 517), (903, 568), (892, 568), (890, 517)]","{'Width': 13, 'Height': 51, 'Left': 890, 'Top': 517}","(-25.5, 0.0, -25.5, -0.0)",11.0,51.03920062069938,vertical,"(896.5, 542.5)","(0, 0)",890,517
MY,100,"[(903, 572), (904, 601), (894, 601), (893, 572)]","{'Width': 11, 'Height': 29, 'Left': 893, 'Top': 572}","(-29.0, 0.0, -29.0, -0.0)",10.0,29.017236257093817,vertical,"(898.5, 586.5)","(0, 0)",893,572
Somewhere,100,"[(984, 604), (932, 844), (895, 836), (947, 596)]","{'Width': 89, 'Height': 248, 'Left': 895, 'Top': 596}","(4.615, -0.216, 4.615, -0.216)",37.8549864614954,245.56872765073325,vertical,"(939.5, 720.0)","(0, 0)",895,596
Is,100,"[(928, 678), (923, 700), (897, 695), (902, 672)]","{'Width': 31, 'Height': 28, 'Left': 897, 'Top': 672}","(4.4, -0.192, 4.6, -0.231)",26.57986635900006,23.049116468618298,vertical,"(912.5, 686.25)","(0, 0)",897,672
There,100,"[(947, 597), (930, 672), (903, 666), (920, 591)]","{'Width': 44, 'Height': 81, 'Left': 903, 'Top': 591}","(4.412, -0.222, 4.412, -0.222)",27.65863337187866,76.90253571892151,vertical,"(925.0, 631.5)","(0, 0)",903,591
GRUENBAUM,100,"[(982, 497), (963, 587), (949, 584), (968, 494)]","{'Width': 33, 'Height': 93, 'Left': 949, 'Top': 494}","(4.737, -0.214, 4.737, -0.214)",14.317821063276353,91.98369420718001,vertical,"(965.5, 540.5)","(0, 0)",949,494
MIKAY,100,"[(983, 866), (969, 919), (951, 914), (966, 861)]","{'Width': 32, 'Height': 58, 'Left': 951, 'Top': 861}","(3.786, -0.278, 3.533, -0.294)",18.200793419469377,54.94981885517231,vertical,"(967.25, 890.0)","(0, 0)",951,861
Images,100,"[(1054, 656), (1025, 743), (995, 733), (1025, 646)]","{'Width': 59, 'Height': 97, 'Left': 995, 'Top': 646}","(3.0, -0.333, 2.9, -0.345)",31.14924995101986,91.8666110229754,vertical,"(1024.75, 694.5)","(0, 0)",995,646
Rescued,100,"[(1092, 543), (1056, 650), (1027, 640), (1063, 533)]","{'Width': 65, 'Height': 117, 'Left': 1027, 'Top': 533}","(2.972, -0.345, 2.972, -0.345)",30.675723300355934,112.89375536317321,vertical,"(1059.5, 591.5)","(0, 0)",1027,533
eint,100,"[(1055, 955), (1055, 982), (1042, 982), (1042, 955)]","{'Width': 13, 'Height': 27, 'Left': 1042, 'Top': 955}","(1000.0, 0.0, 1000.0, -0.0)",13.0,27.0,vertical,"(1048.5, 968.5)","(0, 0)",1042,955
ter,100,"[(1070, 678), (1064, 715), (1050, 712), (1056, 676)]","{'Width': 20, 'Height': 39, 'Left': 1050, 'Top': 676}","(6.167, -0.214, 6.0, -0.143)",14.229978343503653,36.98995240488597,vertical,"(1060.0, 695.25)","(0, 0)",1050,676
LEYSON,100,"[(1054, 857), (1128, 859), (1127, 890), (1053, 888)]","{'Width': 75, 'Height': 33, 'Left': 1053, 'Top': 857}","(-0.027, 31.0, -0.027, 31.0)",31.016124838541646,74.02702209328699,horizontal,"(1090.5, 873.5)","(0, 0)",1053,857
BATTLE,100,"[(1099, 602), (1102, 641), (1090, 642), (1087, 603)]","{'Width': 15, 'Height': 40, 'Left': 1087, 'Top': 602}","(-13.0, 0.083, -13.0, 0.083)",12.041594578792296,39.11521443121589,vertical,"(1094.5, 622.0)","(0, 0)",1087,602
HEROES,100,"[(1102, 643), (1105, 685), (1093, 686), (1090, 644)]","{'Width': 15, 'Height': 43, 'Left': 1090, 'Top': 643}","(-14.0, 0.083, -14.0, 0.083)",12.041594578792296,42.1070065428546,vertical,"(1097.5, 664.5)","(0, 0)",1090,643
ICES,100,"[(1106, 697), (1108, 718), (1096, 719), (1094, 698)]","{'Width': 14, 'Height': 22, 'Left': 1094, 'Top': 697}","(-10.5, 0.083, -10.5, 0.083)",12.041594578792296,21.095023109728988,vertical,"(1101.0, 708.0)","(0, 0)",1094,697
FRO,100,"[(1107, 719), (1108, 737), (1097, 738), (1096, 720)]","{'Width': 12, 'Height': 19, 'Left': 1096, 'Top': 719}","(-18.0, 0.091, -18.0, 0.091)",11.045361017187261,18.027756377319946,vertical,"(1102.0, 728.5)","(0, 0)",1096,719
SEED,100,"[(1111, 795), (1215, 797), (1214, 833), (1110, 831)]","{'Width': 105, 'Height': 38, 'Left': 1110, 'Top': 795}","(-0.019, 36.0, -0.019, 36.0)",36.013886210738214,104.01922899156675,horizontal,"(1162.5, 814.0)","(0, 0)",1110,795
Jacobsen,100,"[(1160, 281), (1139, 367), (1114, 360), (1135, 275)]","{'Width': 46, 'Height': 92, 'Left': 1114, 'Top': 275}","(4.095, -0.28, 4.048, -0.24)",25.83571511792961,88.04126432500273,vertical,"(1137.0, 320.75)","(0, 0)",1114,275
MINECRAFT,100,"[(1125, 573), (1131, 644), (1120, 645), (1114, 574)]","{'Width': 17, 'Height': 72, 'Left': 1114, 'Top': 573}","(-11.833, 0.091, -11.833, 0.091)",11.045361017187261,71.25307010929424,vertical,"(1122.5, 609.0)","(0, 0)",1114,573
STEN,100,"[(1133, 665), (1135, 690), (1124, 691), (1122, 666)]","{'Width': 13, 'Height': 26, 'Left': 1122, 'Top': 665}","(-12.5, 0.091, -12.5, 0.091)",11.045361017187261,25.079872407968907,vertical,"(1128.5, 678.0)","(0, 0)",1122,665
A,100,"[(1138, 718), (1139, 726), (1129, 727), (1128, 719)]","{'Width': 11, 'Height': 9, 'Left': 1128, 'Top': 718}","(-8.0, 0.1, -8.0, 0.1)",10.04987562112089,8.06225774829855,vertical,"(1133.5, 722.5)","(0, 0)",1128,718
B,100,"[(1134, 926), (1161, 927), (1161, 947), (1134, 946)]","{'Width': 27, 'Height': 21, 'Left': 1134, 'Top': 926}","(-0.037, 1000.0, -0.037, 1000.0)",20.0,27.018512172212592,horizontal,"(1147.5, 936.5)","(0, 0)",1134,926
ЭН,100,"[(1169, 844), (1169, 880), (1144, 880), (1144, 844)]","{'Width': 25, 'Height': 36, 'Left': 1144, 'Top': 844}","(1000.0, 0.0, 1000.0, -0.0)",25.0,36.0,vertical,"(1156.5, 862.0)","(0, 0)",1144,844
POPS,100,"[(1181, 606), (1189, 722), (1153, 724), (1145, 608)]","{'Width': 44, 'Height': 118, 'Left': 1145, 'Top': 606}","(-14.5, 0.056, -14.5, 0.056)",36.05551275463989,116.27553482998907,vertical,"(1167.0, 665.0)","(0, 0)",1145,606
HOFFMAN,100,"[(1158, 486), (1166, 567), (1155, 568), (1146, 487)]","{'Width': 20, 'Height': 82, 'Left': 1146, 'Top': 486}","(-10.125, 0.091, -9.0, 0.083)",11.543477797989778,81.44628461186764,vertical,"(1156.25, 527.0)","(0, 0)",1146,486
108,100,"[(1196, 844), (1196, 895), (1173, 895), (1173, 844)]","{'Width': 23, 'Height': 51, 'Left': 1173, 'Top': 844}","(1000.0, 0.0, 1000.0, -0.0)",23.0,51.0,vertical,"(1184.5, 869.5)","(0, 0)",1173,844
NO,100,"[(1224, 857), (1224, 896), (1201, 896), (1201, 857)]","{'Width': 23, 'Height': 39, 'Left': 1201, 'Top': 857}","(1000.0, 0.0, 1000.0, -0.0)",23.0,39.0,vertical,"(1212.5, 876.5)","(0, 0)",1201,857
OF,100,"[(1221, 797), (1260, 798), (1259, 834), (1220, 833)]","{'Width': 40, 'Height': 37, 'Left': 1220, 'Top': 797}","(-0.026, 36.0, -0.026, 36.0)",36.013886210738214,39.01281840626232,horizontal,"(1240.0, 815.5)","(0, 0)",1220,797
VID,100,"[(1239, 423), (1242, 452), (1232, 453), (1229, 424)]","{'Width': 13, 'Height': 30, 'Left': 1229, 'Top': 423}","(-9.667, 0.1, -9.667, 0.1)",10.04987562112089,29.154759474226502,vertical,"(1235.5, 438.0)","(0, 0)",1229,423
ANNE,100,"[(1232, 920), (1311, 921), (1311, 946), (1232, 945)]","{'Width': 79, 'Height': 26, 'Left': 1232, 'Top': 920}","(-0.013, 1000.0, -0.013, 1000.0)",25.0,79.00632886041473,horizontal,"(1271.5, 933.0)","(0, 0)",1232,920
DR,100,"[(1253, 574), (1256, 602), (1241, 603), (1238, 576)]","{'Width': 18, 'Height': 29, 'Left': 1238, 'Top': 574}","(-9.333, 0.067, -9.0, 0.133)",15.083021164397232,27.663205547534847,vertical,"(1247.0, 588.75)","(0, 0)",1238,574
.,100,"[(1255, 597), (1256, 610), (1241, 612), (1240, 599)]","{'Width': 16, 'Height': 15, 'Left': 1240, 'Top': 597}","(-13.0, 0.133, -13.0, 0.133)",15.132745950421556,13.038404810405298,vertical,"(1248.0, 604.5)","(0, 0)",1240,597
MAE,100,"[(1257, 610), (1261, 651), (1245, 652), (1241, 612)]","{'Width': 20, 'Height': 42, 'Left': 1241, 'Top': 610}","(-10.25, 0.062, -10.0, 0.125)",16.07786751923925,40.69708116628776,vertical,"(1251.0, 631.25)","(0, 0)",1241,610
