txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top
Mosley,100,"[(678, 861), (676, 1010), (645, 1010), (647, 861)]","{'Width': 33, 'Height': 149, 'Left': 645, 'Top': 861}","(74.5, 0.0, 74.5, -0.0)",31.0,149.01342221424215,vertical,"(661.5, 935.5)","(0, 0)",645,861
Walter,100,"[(680, 704), (678, 842), (647, 842), (649, 704)]","{'Width': 33, 'Height': 138, 'Left': 647, 'Top': 704}","(69.0, 0.0, 69.0, -0.0)",31.0,138.01449199268893,vertical,"(663.5, 773.0)","(0, 0)",647,704
FICTION,100,"[(658, 450), (658, 533), (648, 533), (648, 450)]","{'Width': 10, 'Height': 83, 'Left': 648, 'Top': 450}","(1000.0, 0.0, 1000.0, -0.0)",10.0,83.0,vertical,"(653.0, 491.5)","(0, 0)",648,450
ELEMENTS,100,"[(677, 423), (677, 525), (666, 525), (666, 423)]","{'Width': 11, 'Height': 102, 'Left': 666, 'Top': 423}","(1000.0, 0.0, 1000.0, -0.0)",11.0,102.0,vertical,"(671.5, 474.0)","(0, 0)",666,423
OF,100,"[(677, 536), (677, 562), (666, 562), (666, 536)]","{'Width': 11, 'Height': 26, 'Left': 666, 'Top': 536}","(1000.0, 0.0, 1000.0, -0.0)",11.0,26.0,vertical,"(671.5, 549.0)","(0, 0)",666,536
808.3,100,"[(706, 1177), (767, 1180), (766, 1201), (705, 1198)]","{'Width': 62, 'Height': 24, 'Left': 705, 'Top': 1177}","(-0.049, 21.0, -0.049, 21.0)",21.02379604162864,61.07372593840988,horizontal,"(736.0, 1189.0)","(0, 0)",705,1177
PIE,100,"[(706, 1204), (737, 1204), (737, 1215), (706, 1215)]","{'Width': 31, 'Height': 11, 'Left': 706, 'Top': 1204}","(-0.0, 1000.0, 0.0, 1000.0)",11.0,31.0,horizontal,"(721.5, 1209.5)","(0, 0)",706,1204
A,100,"[(729, 521), (729, 534), (714, 534), (714, 521)]","{'Width': 15, 'Height': 13, 'Left': 714, 'Top': 521}","(1000.0, 0.0, 1000.0, -0.0)",15.0,13.0,vertical,"(721.5, 527.5)","(0, 0)",714,521
Pocket,100,"[(729, 538), (729, 583), (714, 583), (714, 538)]","{'Width': 15, 'Height': 45, 'Left': 714, 'Top': 538}","(1000.0, 0.0, 1000.0, -0.0)",15.0,45.0,vertical,"(721.5, 560.5)","(0, 0)",714,538
Guide,100,"[(729, 588), (729, 630), (714, 630), (714, 588)]","{'Width': 15, 'Height': 42, 'Left': 714, 'Top': 588}","(1000.0, 0.0, 1000.0, -0.0)",15.0,42.0,vertical,"(721.5, 609.0)","(0, 0)",714,588
to,100,"[(729, 635), (729, 649), (714, 649), (714, 635)]","{'Width': 15, 'Height': 14, 'Left': 714, 'Top': 635}","(1000.0, 0.0, 1000.0, -0.0)",15.0,14.0,vertical,"(721.5, 642.0)","(0, 0)",714,635
Writing,100,"[(729, 653), (729, 707), (714, 707), (714, 653)]","{'Width': 15, 'Height': 54, 'Left': 714, 'Top': 653}","(1000.0, 0.0, 1000.0, -0.0)",15.0,54.0,vertical,"(721.5, 680.0)","(0, 0)",714,653
Your,100,"[(729, 711), (729, 745), (714, 745), (714, 711)]","{'Width': 15, 'Height': 34, 'Left': 714, 'Top': 711}","(1000.0, 0.0, 1000.0, -0.0)",15.0,34.0,vertical,"(721.5, 728.0)","(0, 0)",714,711
Way,100,"[(729, 749), (729, 780), (714, 780), (714, 749)]","{'Width': 15, 'Height': 31, 'Left': 714, 'Top': 749}","(1000.0, 0.0, 1000.0, -0.0)",15.0,31.0,vertical,"(721.5, 764.5)","(0, 0)",714,749
Out,100,"[(729, 784), (729, 814), (714, 814), (714, 784)]","{'Width': 15, 'Height': 30, 'Left': 714, 'Top': 784}","(1000.0, 0.0, 1000.0, -0.0)",15.0,30.0,vertical,"(721.5, 799.0)","(0, 0)",714,784
of,100,"[(729, 818), (729, 836), (714, 836), (714, 818)]","{'Width': 15, 'Height': 18, 'Left': 714, 'Top': 818}","(1000.0, 0.0, 1000.0, -0.0)",15.0,18.0,vertical,"(721.5, 827.0)","(0, 0)",714,818
It,100,"[(729, 837), (729, 848), (714, 848), (714, 837)]","{'Width': 15, 'Height': 11, 'Left': 714, 'Top': 837}","(1000.0, 0.0, 1000.0, -0.0)",15.0,11.0,vertical,"(721.5, 842.5)","(0, 0)",714,837
DBC,100,"[(757, 1009), (757, 1079), (726, 1079), (726, 1009)]","{'Width': 31, 'Height': 70, 'Left': 726, 'Top': 1009}","(1000.0, 0.0, 1000.0, -0.0)",31.0,70.0,vertical,"(741.5, 1044.0)","(0, 0)",726,1009
PIER,100,"[(756, 1094), (756, 1163), (726, 1163), (726, 1094)]","{'Width': 30, 'Height': 69, 'Left': 726, 'Top': 1094}","(1000.0, 0.0, 1000.0, -0.0)",30.0,69.0,vertical,"(741.0, 1128.5)","(0, 0)",726,1094
RELEASE,100,"[(771, 512), (771, 664), (740, 664), (740, 512)]","{'Width': 31, 'Height': 152, 'Left': 740, 'Top': 512}","(1000.0, 0.0, 1000.0, -0.0)",31.0,152.0,vertical,"(755.5, 588.0)","(0, 0)",740,512
THE,100,"[(771, 680), (771, 753), (740, 753), (740, 680)]","{'Width': 31, 'Height': 73, 'Left': 740, 'Top': 680}","(1000.0, 0.0, 1000.0, -0.0)",31.0,73.0,vertical,"(755.5, 716.5)","(0, 0)",740,680
