txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top
COMPLETE,100,"[(1347, 363), (1347, 552), (1322, 552), (1322, 363)]","{'Width': 25, 'Height': 189, 'Left': 1322, 'Top': 363}","(1000.0, 0.0, 1000.0, -0.0)",25.0,189.0,vertical,"(1334.5, 457.5)","(0, 0)",1322,363
VOICE,100,"[(1347, 575), (1347, 681), (1322, 681), (1322, 575)]","{'Width': 25, 'Height': 106, 'Left': 1322, 'Top': 575}","(1000.0, 0.0, 1000.0, -0.0)",25.0,106.0,vertical,"(1334.5, 628.0)","(0, 0)",1322,575
&,100,"[(1347, 704), (1347, 725), (1322, 725), (1322, 704)]","{'Width': 25, 'Height': 21, 'Left': 1322, 'Top': 704}","(1000.0, 0.0, 1000.0, -0.0)",25.0,21.0,vertical,"(1334.5, 714.5)","(0, 0)",1322,704
SPEECH,100,"[(1347, 749), (1347, 887), (1322, 887), (1322, 749)]","{'Width': 25, 'Height': 138, 'Left': 1322, 'Top': 749}","(1000.0, 0.0, 1000.0, -0.0)",25.0,138.0,vertical,"(1334.5, 818.0)","(0, 0)",1322,749
WORKOUT,100,"[(1347, 909), (1347, 1076), (1322, 1076), (1322, 909)]","{'Width': 25, 'Height': 167, 'Left': 1322, 'Top': 909}","(1000.0, 0.0, 1000.0, -0.0)",25.0,167.0,vertical,"(1334.5, 992.5)","(0, 0)",1322,909
RODGERS,100,"[(1342, 118), (1342, 207), (1325, 207), (1325, 118)]","{'Width': 17, 'Height': 89, 'Left': 1325, 'Top': 118}","(1000.0, 0.0, 1000.0, -0.0)",17.0,89.0,vertical,"(1333.5, 162.5)","(0, 0)",1325,118
HAN,100,"[(1369, 1206), (1406, 1205), (1406, 1219), (1369, 1220)]","{'Width': 37, 'Height': 15, 'Left': 1369, 'Top': 1205}","(0.027, 1000.0, 0.027, 1000.0)",14.0,37.013511046643494,horizontal,"(1387.5, 1212.5)","(0, 0)",1369,1205
Hanley,100,"[(1408, 929), (1406, 980), (1388, 979), (1390, 928)]","{'Width': 20, 'Height': 52, 'Left': 1388, 'Top': 928}","(25.5, -0.056, 25.5, -0.056)",18.027756377319946,51.03920062069938,vertical,"(1398.0, 954.0)","(0, 0)",1388,928
Victoria,100,"[(1410, 868), (1408, 926), (1390, 925), (1392, 867)]","{'Width': 20, 'Height': 59, 'Left': 1390, 'Top': 867}","(29.0, -0.056, 29.0, -0.056)",18.027756377319946,58.034472514187634,vertical,"(1400.0, 896.5)","(0, 0)",1390,867
COTTONWO,100,"[(1403, 1082), (1401, 1180), (1390, 1180), (1392, 1082)]","{'Width': 13, 'Height': 98, 'Left': 1390, 'Top': 1082}","(49.0, 0.0, 49.0, -0.0)",11.0,98.02040603874276,vertical,"(1396.5, 1131.0)","(0, 0)",1390,1082
Story,100,"[(1415, 344), (1414, 397), (1393, 396), (1394, 344)]","{'Width': 22, 'Height': 53, 'Left': 1393, 'Top': 344}","(53.0, -0.048, 52.0, -0.0)",21.01189802081432,52.50952380928883,vertical,"(1404.0, 370.25)","(0, 0)",1393,344
the,100,"[(1415, 310), (1414, 342), (1394, 342), (1395, 310)]","{'Width': 21, 'Height': 32, 'Left': 1394, 'Top': 310}","(32.0, 0.0, 32.0, -0.0)",20.0,32.01562118716424,vertical,"(1404.5, 326.0)","(0, 0)",1394,310
Seize,100,"[(1417, 258), (1416, 306), (1395, 305), (1396, 258)]","{'Width': 22, 'Height': 48, 'Left': 1395, 'Top': 258}","(48.0, -0.048, 47.0, -0.0)",21.01189802081432,47.510526315401926,vertical,"(1406.0, 281.75)","(0, 0)",1395,258
Like,100,"[(1411, 684), (1411, 716), (1395, 716), (1395, 684)]","{'Width': 16, 'Height': 32, 'Left': 1395, 'Top': 684}","(1000.0, 0.0, 1000.0, -0.0)",16.0,32.0,vertical,"(1403.0, 700.0)","(0, 0)",1395,684
to,100,"[(1410, 719), (1410, 734), (1395, 734), (1395, 719)]","{'Width': 15, 'Height': 15, 'Left': 1395, 'Top': 719}","(1000.0, 0.0, 1000.0, -0.0)",15.0,15.0,vertical,"(1402.5, 726.5)","(0, 0)",1395,719
Write,100,"[(1410, 738), (1410, 781), (1395, 781), (1395, 738)]","{'Width': 15, 'Height': 43, 'Left': 1395, 'Top': 738}","(1000.0, 0.0, 1000.0, -0.0)",15.0,43.0,vertical,"(1402.5, 759.5)","(0, 0)",1395,738
A,100,"[(1411, 472), (1411, 485), (1396, 485), (1396, 472)]","{'Width': 15, 'Height': 13, 'Left': 1396, 'Top': 472}","(1000.0, 0.0, 1000.0, -0.0)",15.0,13.0,vertical,"(1403.5, 478.5)","(0, 0)",1396,472
Handbook,100,"[(1411, 489), (1411, 567), (1396, 567), (1396, 489)]","{'Width': 15, 'Height': 78, 'Left': 1396, 'Top': 489}","(1000.0, 0.0, 1000.0, -0.0)",15.0,78.0,vertical,"(1403.5, 528.0)","(0, 0)",1396,489
for,100,"[(1411, 571), (1411, 594), (1396, 594), (1396, 571)]","{'Width': 15, 'Height': 23, 'Left': 1396, 'Top': 571}","(1000.0, 0.0, 1000.0, -0.0)",15.0,23.0,vertical,"(1403.5, 582.5)","(0, 0)",1396,571
Teens,100,"[(1411, 597), (1411, 638), (1396, 638), (1396, 597)]","{'Width': 15, 'Height': 41, 'Left': 1396, 'Top': 597}","(1000.0, 0.0, 1000.0, -0.0)",15.0,41.0,vertical,"(1403.5, 617.5)","(0, 0)",1396,597
Who,100,"[(1411, 642), (1411, 679), (1396, 679), (1396, 642)]","{'Width': 15, 'Height': 37, 'Left': 1396, 'Top': 642}","(1000.0, 0.0, 1000.0, -0.0)",15.0,37.0,vertical,"(1403.5, 660.5)","(0, 0)",1396,642
.,100,"[(1407, 1184), (1416, 1184), (1416, 1203), (1407, 1203)]","{'Width': 9, 'Height': 19, 'Left': 1407, 'Top': 1184}","(-0.0, 1000.0, 0.0, 1000.0)",19.0,9.0,horizontal,"(1411.5, 1193.5)","(0, 0)",1407,1184
808.3,100,"[(1446, 1195), (1491, 1195), (1491, 1212), (1446, 1212)]","{'Width': 45, 'Height': 17, 'Left': 1446, 'Top': 1195}","(-0.0, 1000.0, 0.0, 1000.0)",17.0,45.0,horizontal,"(1468.5, 1203.5)","(0, 0)",1446,1195
CAR,100,"[(1447, 1218), (1490, 1218), (1490, 1233), (1447, 1233)]","{'Width': 43, 'Height': 15, 'Left': 1447, 'Top': 1218}","(-0.0, 1000.0, 0.0, 1000.0)",15.0,43.0,horizontal,"(1468.5, 1225.5)","(0, 0)",1447,1218
FANTASY,100,"[(1486, 833), (1486, 1005), (1454, 1005), (1454, 833)]","{'Width': 32, 'Height': 172, 'Left': 1454, 'Top': 833}","(1000.0, 0.0, 1000.0, -0.0)",32.0,172.0,vertical,"(1470.0, 919.0)","(0, 0)",1454,833
HOW,100,"[(1486, 298), (1486, 352), (1455, 352), (1455, 298)]","{'Width': 31, 'Height': 54, 'Left': 1455, 'Top': 298}","(1000.0, 0.0, 1000.0, -0.0)",31.0,54.0,vertical,"(1470.5, 325.0)","(0, 0)",1455,298
TO,100,"[(1486, 356), (1486, 385), (1455, 385), (1455, 356)]","{'Width': 31, 'Height': 29, 'Left': 1455, 'Top': 356}","(1000.0, 0.0, 1000.0, -0.0)",31.0,29.0,vertical,"(1470.5, 370.5)","(0, 0)",1455,356
WRITE,100,"[(1486, 390), (1486, 454), (1455, 454), (1455, 390)]","{'Width': 31, 'Height': 64, 'Left': 1455, 'Top': 390}","(1000.0, 0.0, 1000.0, -0.0)",31.0,64.0,vertical,"(1470.5, 422.0)","(0, 0)",1455,390
SCIENCE,100,"[(1486, 460), (1486, 624), (1455, 624), (1455, 460)]","{'Width': 31, 'Height': 164, 'Left': 1455, 'Top': 460}","(1000.0, 0.0, 1000.0, -0.0)",31.0,164.0,vertical,"(1470.5, 542.0)","(0, 0)",1455,460
FICTION,100,"[(1486, 632), (1486, 791), (1455, 791), (1455, 632)]","{'Width': 31, 'Height': 159, 'Left': 1455, 'Top': 632}","(1000.0, 0.0, 1000.0, -0.0)",31.0,159.0,vertical,"(1470.5, 711.5)","(0, 0)",1455,632
&,100,"[(1486, 800), (1486, 823), (1455, 823), (1455, 800)]","{'Width': 31, 'Height': 23, 'Left': 1455, 'Top': 800}","(1000.0, 0.0, 1000.0, -0.0)",31.0,23.0,vertical,"(1470.5, 811.5)","(0, 0)",1455,800
Card,100,"[(1480, 1046), (1482, 1097), (1462, 1098), (1460, 1047)]","{'Width': 22, 'Height': 52, 'Left': 1460, 'Top': 1046}","(-25.5, 0.05, -25.5, 0.05)",20.024984394500787,51.03920062069938,vertical,"(1471.0, 1072.0)","(0, 0)",1460,1046
SCHMIDT,100,"[(1496, 1150), (1580, 1151), (1580, 1167), (1496, 1166)]","{'Width': 84, 'Height': 17, 'Left': 1496, 'Top': 1150}","(-0.012, 1000.0, -0.012, 1000.0)",16.0,84.00595217006948,horizontal,"(1538.0, 1158.5)","(0, 0)",1496,1150
SCH,100,"[(1500, 1195), (1534, 1195), (1534, 1212), (1500, 1212)]","{'Width': 34, 'Height': 17, 'Left': 1500, 'Top': 1195}","(-0.0, 1000.0, 0.0, 1000.0)",17.0,34.0,horizontal,"(1517.0, 1203.5)","(0, 0)",1500,1195
808.397808.5,100,"[(1502, 1173), (1645, 1178), (1644, 1195), (1501, 1190)]","{'Width': 144, 'Height': 22, 'Left': 1501, 'Top': 1173}","(-0.035, 17.0, -0.035, 17.0)",17.029386365926403,143.0873858870865,horizontal,"(1573.0, 1184.0)","(0, 0)",1501,1173
CHARACTERS,100,"[(1523, 960), (1522, 1046), (1511, 1046), (1512, 960)]","{'Width': 12, 'Height': 86, 'Left': 1511, 'Top': 960}","(86.0, 0.0, 86.0, -0.0)",11.0,86.00581375697809,vertical,"(1517.0, 1003.0)","(0, 0)",1511,960
ORIGINAL,100,"[(1524, 895), (1523, 957), (1512, 957), (1513, 895)]","{'Width': 12, 'Height': 62, 'Left': 1512, 'Top': 895}","(62.0, 0.0, 62.0, -0.0)",11.0,62.00806399170998,vertical,"(1518.0, 926.0)","(0, 0)",1512,895
CHARACTERS,100,"[(1567, 637), (1566, 885), (1514, 885), (1515, 637)]","{'Width': 53, 'Height': 248, 'Left': 1514, 'Top': 637}","(248.0, 0.0, 248.0, -0.0)",52.0,248.0020161208372,vertical,"(1540.5, 761.0)","(0, 0)",1514,637
MASTER,100,"[(1567, 455), (1566, 622), (1515, 622), (1516, 455)]","{'Width': 52, 'Height': 167, 'Left': 1515, 'Top': 455}","(167.0, 0.0, 167.0, -0.0)",51.0,167.0029939851379,vertical,"(1541.0, 538.5)","(0, 0)",1515,455
45,100,"[(1567, 361), (1567, 446), (1516, 446), (1516, 361)]","{'Width': 51, 'Height': 85, 'Left': 1516, 'Top': 361}","(1000.0, 0.0, 1000.0, -0.0)",51.0,85.0,vertical,"(1541.5, 403.5)","(0, 0)",1516,361
CREATING,100,"[(1541, 924), (1540, 988), (1529, 988), (1530, 924)]","{'Width': 12, 'Height': 64, 'Left': 1529, 'Top': 924}","(64.0, 0.0, 64.0, -0.0)",11.0,64.00781202322104,vertical,"(1535.0, 956.0)","(0, 0)",1529,924
FOR,100,"[(1542, 896), (1542, 920), (1530, 920), (1530, 896)]","{'Width': 12, 'Height': 24, 'Left': 1530, 'Top': 896}","(1000.0, 0.0, 1000.0, -0.0)",12.0,24.0,vertical,"(1536.0, 908.0)","(0, 0)",1530,896
MODELS,100,"[(1559, 949), (1558, 1001), (1547, 1001), (1548, 949)]","{'Width': 12, 'Height': 52, 'Left': 1547, 'Top': 949}","(52.0, 0.0, 52.0, -0.0)",11.0,52.009614495783374,vertical,"(1553.0, 975.0)","(0, 0)",1547,949
MYTHIC,100,"[(1560, 896), (1559, 945), (1548, 945), (1549, 896)]","{'Width': 12, 'Height': 49, 'Left': 1548, 'Top': 896}","(49.0, 0.0, 49.0, -0.0)",11.0,49.01020301937138,vertical,"(1554.0, 920.5)","(0, 0)",1548,896
HBR,100,"[(1588, 1203), (1622, 1203), (1622, 1215), (1588, 1215)]","{'Width': 34, 'Height': 12, 'Left': 1588, 'Top': 1203}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,34.0,horizontal,"(1605.0, 1209.0)","(0, 0)",1588,1203
Presenting,100,"[(1637, 892), (1634, 1104), (1593, 1103), (1596, 891)]","{'Width': 44, 'Height': 213, 'Left': 1593, 'Top': 891}","(70.667, -0.024, 70.667, -0.024)",41.012193308819754,212.02122535255756,vertical,"(1615.0, 997.5)","(0, 0)",1593,891
Speaking,100,"[(1641, 620), (1638, 801), (1597, 800), (1600, 619)]","{'Width': 44, 'Height': 182, 'Left': 1597, 'Top': 619}","(60.333, -0.024, 60.333, -0.024)",41.012193308819754,181.02486017119307,vertical,"(1619.0, 710.0)","(0, 0)",1597,619
and,100,"[(1638, 810), (1637, 883), (1597, 882), (1598, 809)]","{'Width': 41, 'Height': 74, 'Left': 1597, 'Top': 809}","(73.0, -0.025, 73.0, -0.025)",40.01249804748511,73.00684899377592,vertical,"(1617.5, 846.0)","(0, 0)",1597,809
Public,100,"[(1643, 487), (1641, 611), (1600, 610), (1602, 486)]","{'Width': 43, 'Height': 125, 'Left': 1600, 'Top': 486}","(62.0, -0.024, 62.0, -0.024)",41.012193308819754,124.01612798341996,vertical,"(1621.5, 548.5)","(0, 0)",1600,486
LIN,100,"[(1653, 1201), (1684, 1201), (1684, 1213), (1653, 1213)]","{'Width': 31, 'Height': 12, 'Left': 1653, 'Top': 1201}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,31.0,horizontal,"(1668.5, 1207.0)","(0, 0)",1653,1201
808.5,100,"[(1655, 1179), (1704, 1181), (1703, 1198), (1654, 1196)]","{'Width': 50, 'Height': 19, 'Left': 1654, 'Top': 1179}","(-0.041, 17.0, -0.041, 17.0)",17.029386365926403,49.040799340956916,horizontal,"(1679.0, 1188.5)","(0, 0)",1654,1179
Ker,100,"[(1706, 964), (1705, 1046), (1659, 1045), (1660, 963)]","{'Width': 47, 'Height': 83, 'Left': 1659, 'Top': 963}","(82.0, -0.022, 82.0, -0.022)",46.010868281309364,82.00609733428362,vertical,"(1682.5, 1004.5)","(0, 0)",1659,963
VOICE,100,"[(1709, 815), (1707, 950), (1660, 949), (1662, 814)]","{'Width': 49, 'Height': 136, 'Left': 1660, 'Top': 814}","(67.5, -0.021, 67.5, -0.021)",47.01063709417264,135.0148140020198,vertical,"(1684.5, 882.0)","(0, 0)",1660,814
NATURAL,100,"[(1712, 596), (1709, 796), (1662, 795), (1665, 595)]","{'Width': 50, 'Height': 201, 'Left': 1662, 'Top': 595}","(66.667, -0.021, 66.667, -0.021)",47.01063709417264,200.02249873451737,vertical,"(1687.0, 695.5)","(0, 0)",1662,595
THE,100,"[(1714, 491), (1713, 575), (1666, 574), (1667, 490)]","{'Width': 48, 'Height': 85, 'Left': 1666, 'Top': 490}","(84.0, -0.021, 84.0, -0.021)",47.01063709417264,84.00595217006948,vertical,"(1690.0, 532.5)","(0, 0)",1666,490
FREEING,100,"[(1717, 293), (1714, 476), (1667, 475), (1670, 292)]","{'Width': 50, 'Height': 184, 'Left': 1667, 'Top': 292}","(61.0, -0.021, 61.0, -0.021)",47.01063709417264,183.02458851203573,vertical,"(1692.0, 384.0)","(0, 0)",1667,292
AND,100,"[(1724, 1218), (1759, 1218), (1759, 1229), (1724, 1229)]","{'Width': 35, 'Height': 11, 'Left': 1724, 'Top': 1218}","(-0.0, 1000.0, 0.0, 1000.0)",11.0,35.0,horizontal,"(1741.5, 1223.5)","(0, 0)",1724,1218
NEW,100,"[(1726, 1173), (1761, 1173), (1761, 1185), (1726, 1185)]","{'Width': 35, 'Height': 12, 'Left': 1726, 'Top': 1173}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,35.0,horizontal,"(1743.5, 1179.0)","(0, 0)",1726,1173
808.51,100,"[(1726, 1193), (1795, 1194), (1795, 1208), (1726, 1207)]","{'Width': 69, 'Height': 15, 'Left': 1726, 'Top': 1193}","(-0.014, 1000.0, -0.014, 1000.0)",14.0,69.00724599634447,horizontal,"(1760.5, 1200.5)","(0, 0)",1726,1193
TALKS,100,"[(1814, 611), (1811, 899), (1732, 898), (1735, 610)]","{'Width': 82, 'Height': 289, 'Left': 1732, 'Top': 610}","(96.0, -0.013, 96.0, -0.013)",79.00632886041473,288.01562457616774,vertical,"(1773.0, 754.5)","(0, 0)",1732,610
TED,100,"[(1817, 360), (1815, 592), (1736, 591), (1738, 359)]","{'Width': 81, 'Height': 233, 'Left': 1736, 'Top': 359}","(116.0, -0.013, 116.0, -0.013)",79.00632886041473,232.0086205294967,vertical,"(1776.5, 475.5)","(0, 0)",1736,359
ANDERSON,100,"[(1781, 1018), (1779, 1166), (1756, 1166), (1758, 1018)]","{'Width': 25, 'Height': 148, 'Left': 1756, 'Top': 1018}","(74.0, 0.0, 74.0, -0.0)",23.0,148.0135128966271,vertical,"(1768.5, 1092.0)","(0, 0)",1756,1018
CHRIS,100,"[(1782, 926), (1781, 1013), (1758, 1013), (1759, 926)]","{'Width': 24, 'Height': 87, 'Left': 1758, 'Top': 926}","(87.0, 0.0, 87.0, -0.0)",23.0,87.00574693662483,vertical,"(1770.0, 969.5)","(0, 0)",1758,926
MAY,100,"[(1771, 1173), (1807, 1173), (1807, 1185), (1771, 1185)]","{'Width': 36, 'Height': 12, 'Left': 1771, 'Top': 1173}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,36.0,horizontal,"(1789.0, 1179.0)","(0, 0)",1771,1173
HUGH,100,"[(1875, 1125), (1873, 1179), (1827, 1177), (1829, 1123)]","{'Width': 48, 'Height': 56, 'Left': 1827, 'Top': 1123}","(27.0, -0.043, 27.0, -0.043)",46.04345773288535,54.037024344425184,vertical,"(1851.0, 1151.0)","(0, 0)",1827,1123
LLOYD,100,"[(1878, 1064), (1875, 1125), (1829, 1123), (1832, 1062)]","{'Width': 49, 'Height': 63, 'Left': 1829, 'Top': 1062}","(20.333, -0.043, 20.333, -0.043)",46.04345773288535,61.07372593840988,vertical,"(1853.5, 1093.5)","(0, 0)",1829,1062
-,100,"[(1875, 1121), (1874, 1134), (1829, 1132), (1830, 1119)]","{'Width': 46, 'Height': 15, 'Left': 1829, 'Top': 1119}","(13.0, -0.044, 13.0, -0.044)",45.044422518220834,13.038404810405298,vertical,"(1852.0, 1126.5)","(0, 0)",1829,1119
LLO,100,"[(1830, 1207), (1865, 1208), (1865, 1220), (1830, 1219)]","{'Width': 35, 'Height': 13, 'Left': 1830, 'Top': 1207}","(-0.029, 1000.0, -0.029, 1000.0)",12.0,35.014282800023196,horizontal,"(1847.5, 1213.5)","(0, 0)",1830,1207
808.51,100,"[(1832, 1180), (1902, 1181), (1902, 1204), (1832, 1203)]","{'Width': 70, 'Height': 24, 'Left': 1832, 'Top': 1180}","(-0.014, 1000.0, -0.014, 1000.0)",23.0,70.00714249274856,horizontal,"(1867.0, 1192.0)","(0, 0)",1832,1180
situation,100,"[(1882, 958), (1878, 1039), (1833, 1037), (1836, 956)]","{'Width': 49, 'Height': 83, 'Left': 1833, 'Top': 956}","(20.25, -0.044, 27.0, -0.043)",45.54394012555309,81.07712090419969,vertical,"(1857.25, 997.5)","(0, 0)",1833,956
.,100,"[(1879, 1035), (1878, 1050), (1833, 1048), (1834, 1033)]","{'Width': 46, 'Height': 17, 'Left': 1833, 'Top': 1033}","(15.0, -0.044, 15.0, -0.044)",45.044422518220834,15.033296378372908,vertical,"(1856.0, 1041.5)","(0, 0)",1833,1033
Any,100,"[(1884, 915), (1882, 969), (1837, 967), (1839, 913)]","{'Width': 47, 'Height': 56, 'Left': 1837, 'Top': 913}","(27.0, -0.044, 27.0, -0.044)",45.044422518220834,54.037024344425184,vertical,"(1860.5, 941.0)","(0, 0)",1837,913
SPEAKING,100,"[(1896, 651), (1885, 894), (1839, 892), (1850, 649)]","{'Width': 57, 'Height': 245, 'Left': 1839, 'Top': 649}","(22.091, -0.043, 22.091, -0.043)",46.04345773288535,243.24884377936928,vertical,"(1867.5, 771.5)","(0, 0)",1839,649
PUBLIC,100,"[(1904, 466), (1896, 642), (1850, 640), (1858, 464)]","{'Width': 54, 'Height': 178, 'Left': 1850, 'Top': 464}","(22.0, -0.043, 22.0, -0.043)",46.04345773288535,176.1817243643619,vertical,"(1877.0, 553.0)","(0, 0)",1850,464
brilliant,100,"[(1878, 359), (1877, 427), (1861, 427), (1862, 359)]","{'Width': 17, 'Height': 68, 'Left': 1861, 'Top': 359}","(68.0, 0.0, 68.0, -0.0)",16.0,68.00735254367721,vertical,"(1869.5, 393.0)","(0, 0)",1861,359
at,100,"[(1877, 431), (1877, 450), (1862, 450), (1862, 431)]","{'Width': 15, 'Height': 19, 'Left': 1862, 'Top': 431}","(1000.0, 0.0, 1000.0, -0.0)",15.0,19.0,vertical,"(1869.5, 440.5)","(0, 0)",1862,431
SARAH,100,"[(1883, 1101), (1883, 1163), (1868, 1163), (1868, 1101)]","{'Width': 15, 'Height': 62, 'Left': 1868, 'Top': 1101}","(1000.0, 0.0, 1000.0, -0.0)",15.0,62.0,vertical,"(1875.5, 1132.0)","(0, 0)",1868,1101
Any,100,"[(1889, 913), (1888, 950), (1870, 950), (1871, 913)]","{'Width': 19, 'Height': 37, 'Left': 1870, 'Top': 913}","(37.0, 0.0, 37.0, -0.0)",18.0,37.013511046643494,vertical,"(1879.5, 931.5)","(0, 0)",1870,913
audience,100,"[(1888, 955), (1887, 1042), (1870, 1042), (1871, 955)]","{'Width': 18, 'Height': 87, 'Left': 1870, 'Top': 955}","(87.0, 0.0, 87.0, -0.0)",17.0,87.00574693662483,vertical,"(1879.0, 998.5)","(0, 0)",1870,955
.,100,"[(1887, 1041), (1887, 1046), (1870, 1046), (1870, 1041)]","{'Width': 17, 'Height': 5, 'Left': 1870, 'Top': 1041}","(1000.0, 0.0, 1000.0, -0.0)",17.0,5.0,vertical,"(1878.5, 1043.5)","(0, 0)",1870,1041
How,100,"[(1901, 359), (1900, 398), (1884, 398), (1885, 359)]","{'Width': 17, 'Height': 39, 'Left': 1884, 'Top': 359}","(39.0, 0.0, 39.0, -0.0)",16.0,39.01281840626232,vertical,"(1892.5, 378.5)","(0, 0)",1884,359
be,100,"[(1900, 427), (1900, 452), (1884, 452), (1884, 427)]","{'Width': 16, 'Height': 25, 'Left': 1884, 'Top': 427}","(1000.0, 0.0, 1000.0, -0.0)",16.0,25.0,vertical,"(1892.0, 439.5)","(0, 0)",1884,427
to,100,"[(1900, 403), (1900, 423), (1885, 423), (1885, 403)]","{'Width': 15, 'Height': 20, 'Left': 1885, 'Top': 403}","(1000.0, 0.0, 1000.0, -0.0)",15.0,20.0,vertical,"(1892.5, 413.0)","(0, 0)",1885,403
WOODIC,100,"[(1915, 1204), (2012, 1206), (2012, 1229), (1915, 1227)]","{'Width': 97, 'Height': 25, 'Left': 1915, 'Top': 1204}","(-0.021, 1000.0, -0.021, 1000.0)",23.0,97.02061636580135,horizontal,"(1963.5, 1216.5)","(0, 0)",1915,1204
808.808.808.5,100,"[(1918, 1181), (2094, 1184), (2094, 1207), (1918, 1204)]","{'Width': 176, 'Height': 26, 'Left': 1918, 'Top': 1181}","(-0.017, 1000.0, -0.017, 1000.0)",23.0,176.02556632489498,horizontal,"(2006.0, 1194.0)","(0, 0)",1918,1181
SPEAKING,100,"[(1942, 927), (1940, 1054), (1919, 1054), (1921, 927)]","{'Width': 23, 'Height': 127, 'Left': 1919, 'Top': 927}","(63.5, 0.0, 63.5, -0.0)",21.0,127.01574705523721,vertical,"(1930.5, 990.5)","(0, 0)",1919,927
TO,100,"[(1963, 868), (1962, 905), (1932, 905), (1933, 868)]","{'Width': 31, 'Height': 37, 'Left': 1932, 'Top': 868}","(37.0, 0.0, 37.0, -0.0)",30.0,37.013511046643494,vertical,"(1947.5, 886.5)","(0, 0)",1932,868
guide,100,"[(1965, 764), (1964, 843), (1933, 843), (1934, 764)]","{'Width': 32, 'Height': 79, 'Left': 1933, 'Top': 764}","(79.0, 0.0, 79.0, -0.0)",31.0,79.00632886041473,vertical,"(1949.0, 803.5)","(0, 0)",1933,764
practical,100,"[(1967, 623), (1965, 741), (1934, 741), (1936, 623)]","{'Width': 33, 'Height': 118, 'Left': 1934, 'Top': 623}","(59.0, 0.0, 59.0, -0.0)",31.0,118.01694793545543,vertical,"(1950.5, 682.0)","(0, 0)",1934,623
A,100,"[(1967, 570), (1967, 592), (1937, 592), (1937, 570)]","{'Width': 30, 'Height': 22, 'Left': 1937, 'Top': 570}","(1000.0, 0.0, 1000.0, -0.0)",30.0,22.0,vertical,"(1952.0, 581.0)","(0, 0)",1937,570
CONFIDENT,100,"[(1968, 929), (1965, 1081), (1944, 1081), (1947, 929)]","{'Width': 24, 'Height': 152, 'Left': 1944, 'Top': 929}","(50.667, 0.0, 50.667, -0.0)",21.0,152.029602380589,vertical,"(1956.0, 1005.0)","(0, 0)",1944,929
OCCASION,100,"[(2024, 892), (2019, 1165), (1987, 1164), (1992, 891)]","{'Width': 37, 'Height': 274, 'Left': 1987, 'Top': 891}","(54.6, -0.031, 54.6, -0.031)",32.01562118716424,273.045783706689,vertical,"(2005.5, 1028.0)","(0, 0)",1987,891
RISING,100,"[(2025, 659), (2023, 831), (1995, 831), (1997, 659)]","{'Width': 30, 'Height': 172, 'Left': 1995, 'Top': 659}","(86.0, 0.0, 86.0, -0.0)",28.0,172.01162751395617,vertical,"(2010.0, 745.0)","(0, 0)",1995,659
THE,100,"[(2007, 847), (2007, 877), (1997, 877), (1997, 847)]","{'Width': 10, 'Height': 30, 'Left': 1997, 'Top': 847}","(1000.0, 0.0, 1000.0, -0.0)",10.0,30.0,vertical,"(2002.0, 862.0)","(0, 0)",1997,847
DICKSON,100,"[(2012, 503), (2011, 610), (1999, 610), (2000, 503)]","{'Width': 13, 'Height': 107, 'Left': 1999, 'Top': 503}","(107.0, 0.0, 107.0, -0.0)",12.0,107.00467279516349,vertical,"(2005.5, 556.5)","(0, 0)",1999,503
TO,100,"[(2021, 853), (2021, 872), (2011, 872), (2011, 853)]","{'Width': 10, 'Height': 19, 'Left': 2011, 'Top': 853}","(1000.0, 0.0, 1000.0, -0.0)",10.0,19.0,vertical,"(2016.0, 862.5)","(0, 0)",2011,853
PAUL,100,"[(2030, 529), (2028, 586), (2016, 586), (2018, 529)]","{'Width': 14, 'Height': 57, 'Left': 2016, 'Top': 529}","(28.5, 0.0, 28.5, -0.0)",12.0,57.0350769263968,vertical,"(2023.0, 557.5)","(0, 0)",2016,529
CHA,100,"[(2036, 1213), (2070, 1215), (2069, 1228), (2035, 1226)]","{'Width': 35, 'Height': 15, 'Left': 2035, 'Top': 1213}","(-0.059, 13.0, -0.059, 13.0)",13.038404810405298,34.058772731852805,horizontal,"(2052.5, 1220.5)","(0, 0)",2035,1213
Our,100,"[(2088, 990), (2087, 1026), (2045, 1025), (2046, 989)]","{'Width': 43, 'Height': 37, 'Left': 2045, 'Top': 989}","(36.0, -0.024, 36.0, -0.024)",42.01190307520001,36.013886210738214,vertical,"(2066.5, 1007.5)","(0, 0)",2045,989
World,100,"[(2088, 1026), (2087, 1086), (2045, 1085), (2046, 1025)]","{'Width': 43, 'Height': 61, 'Left': 2045, 'Top': 1025}","(60.0, -0.024, 60.0, -0.024)",42.01190307520001,60.00833275470999,vertical,"(2066.5, 1055.5)","(0, 0)",2045,1025
Shape,100,"[(2089, 932), (2088, 989), (2046, 988), (2047, 931)]","{'Width': 43, 'Height': 58, 'Left': 2046, 'Top': 931}","(57.0, -0.024, 57.0, -0.024)",42.01190307520001,57.0087712549569,vertical,"(2067.5, 960.0)","(0, 0)",2046,931
